flight_id,carrier,route_type,origin,destination,cabin_class,booking_channel,customer_segment,aircraft_family,departure_time,distance_miles,base_fare_usd,ancillary_revenue_usd,passenger_count,available_seats,delay_minutes,fuel_gallons,crew_size,baggage_weight_lbs,advance_booking_days,customer_age,loyalty_status,satisfaction_rating,on_time,cancelled,year,month,day_of_week,load_factor,total_revenue_usd,fuel_cost_usd,operating_margin,revenue_per_mile,performance_category
FL000001,American,Regional,PHX,LAS,Economy,Mobile App,Business,A330,Evening,662.2511171878288,159.44798218453843,25.493543302978424,105,163,13.365080150582344,1879.9729167267167,7,3798.395914783504,9,30,None,,1,0,2025,1,Sat,64.41717791411043,16767.531672679514,5557.791941169308,66.85384557689551,25.318993411261967,Good
FL000002,United,Regional,BWI,SEA,Premium Economy,Website,Frequent Flyer,B757,Evening,756.4740671232526,161.23035182288206,33.28575129440889,88,115,3.471057908377058,2143.8234590105235,6,2781.1538603763584,14,85,None,4.4585037924211,1,0,2025,5,Thu,76.52173913043478,14221.55671170803,6148.360887078992,56.767314495063005,18.799794110312718,Excellent
FL000003,JetBlue,International,LGA,JFK,Economy,Mobile App,Leisure,B737,Morning,2412.2493904382254,449.6645589672681,27.79388404510475,203,275,75.46718889504714,7671.759339751494,12,7054.618681491064,12,27,Silver,4.65493849395352,0,0,2024,4,Mon,73.81818181818181,91309.69935440052,21656.735361173734,76.28210856645426,37.8525121475158,Good
FL000004,Frontier,International,SEA,IAH,Economy,Website,Leisure,B777,Afternoon,2779.7144036912377,499.07365738529836,39.17705284094175,321,339,33.928835772869846,9396.409388574895,10,8416.507053968557,37,53,Silver,1.5273175255810745,0,0,2024,5,Tue,94.69026548672566,160241.8210735217,28989.495807392632,81.90890766643761,57.64686503790944,Poor
FL000005,Southwest,Regional,LGA,ATL,Business,Call Center,Leisure,B787,Morning,848.2338626931555,163.0121919377558,39.78139836715396,89,130,4.19955366307571,2678.9194541036877,7,2443.102528907681,13,72,Silver,2.2982932417660384,1,0,2024,5,Sat,68.46153846153847,14547.866480827419,8527.707373268284,41.381731922636774,17.150773059964525,Good
FL000006,Delta,International,SEA,MCO,Premium Economy,Website,Leisure,A350,Morning,867.4973797712416,160.48739868556683,25.784709020650215,287,303,32.12876508995179,2872.2533778621955,9,12203.907459358417,7,74,None,1.7923711887356641,0,0,2024,11,Fri,94.71947194719472,46085.66813177833,8673.713651512408,81.17915177727139,53.124849949323284,Poor
FL000007,United,Regional,IAH,BWI,First,Call Center,Frequent Flyer,B787,Morning,453.7784396124204,174.7775469020469,0.9507928297266219,103,118,2.84453050103765,1534.243830744275,6,3557.648508789015,82,43,None,2.9180377674033626,1,0,2024,3,Sat,87.28813559322035,18003.03812374056,4782.403055466681,73.43557780305903,39.67363045965174,Good
FL000008,American,Domestic,BWI,LAS,Premium Economy,Travel Agent,Leisure,B757,Afternoon,1267.9851560397422,251.32821552248166,19.717687225780487,131,168,22.458540130607716,4417.708213559748,4,3580.6923615774917,7,32,None,4.950131001351093,0,0,2023,12,Wed,77.97619047619048,32943.713920670874,13897.166806770007,57.81542166060978,25.98115109136051,Good
FL000009,Southwest,Domestic,PHL,PHL,Economy,Website,Leisure,A350,Afternoon,3193.3141250021895,503.6487426359448,1.505514267016708,234,292,12.292353316494271,10094.076483010607,7,10523.430046186711,6,27,Platinum,4.794009680534158,1,0,2023,1,Wed,80.13698630136986,117855.3112910781,29075.26080296339,75.32969835262364,36.90689568192647,Excellent
FL000010,American,International,BWI,DTW,Economy,Call Center,Leisure,B777,Afternoon,1911.6725928189805,377.3196839269247,0.48793166791348846,201,226,78.55066251076529,6275.226806750844,13,8810.80712935506,27,45,Gold,3.1146488713746834,0,1,2023,4,Wed,88.93805309734513,75841.74440097978,18582.197625180957,75.49872069537882,39.67297783410831,Poor
FL000011,Delta,Domestic,BWI,ATL,Premium Economy,Website,Business,A321,Evening,1007.0315185002438,215.824374436051,14.565273263976875,175,245,0.4123287581448213,2929.0716294614526,6,4973.203409972492,25,48,Silver,4.742999776164494,1,0,2024,12,Sat,71.42857142857143,37783.830799572905,8580.922970702655,77.28943098379625,37.52000816801024,Excellent
FL000012,Alaska,International,LAS,LAS,Economy,Website,Frequent Flyer,A321,Morning,1019.3179125725911,239.70149187260154,4.290385361999962,362,432,50.20869587340039,3437.170988267828,9,10866.854066435468,0,28,Silver,,0,0,2024,6,Fri,83.79629629629629,86776.23044324375,10441.279181723836,87.96758152734812,85.13166439333415,Poor
FL000013,JetBlue,Regional,PHL,LAX,Premium Economy,Travel Agent,Leisure,A330,Evening,514.101810156968,138.81947653441458,20.28611640823474,72,116,11.873364567178433,1756.3514715390793,4,2023.8420693098876,24,53,Silver,2.4999515928010787,1,0,2023,6,Wed,62.06896551724138,10015.288426886085,5550.719441516424,44.57753781093819,19.481138227908925,Good
FL000014,Spirit,Regional,LAS,DEN,Economy,Website,Group,A330,Evening,824.5435042853118,200.03127991632985,15.392640871232654,71,93,13.457567556923847,2734.8854941107293,7,3026.62888258939,3,43,Silver,4.634554174529556,1,0,2023,3,Tue,76.34408602150538,14217.613514930652,8687.79774888418,38.894120734392764,17.243011970913567,Excellent
FL000015,American,Regional,BWI,LAS,Premium Economy,Mobile App,Leisure,B777,Evening,835.0870714393459,140.29692990863214,2.1068395625421252,71,129,33.09756114465896,2466.510745028109,7,2000.720298665201,13,48,Gold,3.4475102720041644,0,0,2024,7,Tue,55.03875968992248,9963.188863075424,7722.031460514942,22.494378389899193,11.930718608663158,Poor
FL000016,Delta,Regional,FLL,LAS,Economy,Website,Business,A321,Morning,876.5057762234582,164.7863484297578,52.14802162440545,118,154,8.659970054228127,2800.4446801224904,7,3895.531093768008,17,58,Silver,4.425176890393866,1,0,2024,9,Thu,76.62337662337663,19496.937136335826,8171.360429566353,58.089004583506366,22.24393456976516,Excellent
FL000017,Southwest,Domestic,PHX,SEA,Economy,Travel Agent,Leisure,A350,Afternoon,1164.500726523193,182.34744301654578,4.460913740923625,156,192,46.99654240492603,3493.521047637619,4,6730.687568128269,2,32,None,4.481855659780159,0,0,2025,4,Tue,81.25,28450.662024322068,10483.513000692677,63.15195410310498,24.431639565624113,Good
FL000018,JetBlue,Domestic,JFK,MIA,Economy,Mobile App,Business,A330,Afternoon,2159.4949055332245,349.2630798829489,21.4122746689239,233,305,0.30120539216496134,7335.051694568076,5,10189.782530458973,5,33,None,3.429991283403233,1,1,2023,2,Tue,76.39344262295083,81399.70988739602,21269.078078826766,73.87081832570502,37.69386520840008,Good
FL000019,Spirit,International,PHX,DTW,Economy,Website,Leisure,A320,Evening,1852.630995972385,264.6112898897698,87.97556166564131,362,372,21.661646694807885,5382.0042942658265,9,16239.726186684531,19,19,None,2.1733038056776564,0,0,2023,7,Fri,97.31182795698925,95877.26250176232,15600.82272980828,83.72833941778269,51.75194774901167,Poor
FL000020,Hawaiian,Regional,SFO,MIA,Economy,Mobile App,Business,A350,Night,331.59321010048075,75.0,2.9505561772815634,93,151,0.8641472140249233,1058.8915349030808,5,3701.755656481751,14,40,Silver,1.955492314152008,1,0,2024,8,Sat,61.58940397350994,6977.950556177281,3130.159196471475,55.14214135982264,21.043707602042858,Good
FL000021,Delta,Domestic,BOS,MIA,Economy,Website,Business,A321,Morning,1655.3270689204107,282.1303378753025,7.137554552312272,192,216,22.58509151679243,5574.67462115899,5,4861.630339672311,12,36,None,2.5542059583930703,0,0,2023,11,Thu,88.88888888888889,54176.16242661038,17290.70441154928,68.08429457333361,32.72837340957856,Poor
FL000022,JetBlue,Domestic,BOS,SFO,Premium Economy,Call Center,Group,A330,Afternoon,1148.1333888200568,232.31164257973614,0.8688049363332312,209,256,19.552628988705983,3851.7321284304726,5,9069.564784128834,0,48,Silver,4.101264415682711,0,0,2023,8,Tue,81.640625,48554.002104101186,12211.160581331264,74.8503520777748,42.28951320194634,Good
FL000023,Spirit,Domestic,BWI,MIA,First,Website,Business,A350,Afternoon,1366.162212850908,230.1395573357944,37.431212724404574,172,212,21.553050672792434,4706.615325461895,5,4492.847769551472,13,58,None,4.614376863023338,0,0,2025,9,Wed,81.13207547169812,39621.43507448104,13776.244052984588,65.2303253855198,29.001998958673447,Good
FL000024,Southwest,Regional,LGA,MSP,Economy,Website,Group,B787,Evening,413.55635873790317,114.82623270483948,0.1439114010696207,71,144,3.133634570650339,1215.9166627104414,5,2383.1864477927847,6,85,None,4.379758532042791,1,0,2023,4,Thu,49.30555555555556,8152.8064334446735,3759.7757447373115,53.88366232621625,19.713894518090637,Excellent
FL000025,American,Domestic,SFO,MCO,Economy,Travel Agent,Leisure,B757,Afternoon,2228.173095596417,424.43585482869577,36.30551030730133,245,311,22.93386893734177,7541.817876104298,5,8748.423448526366,5,40,None,3.160419774821923,0,0,2024,9,Sat,78.77813504823152,104023.08994333776,22623.81016488391,78.2511650276806,46.685372042648154,Poor
FL000026,Alaska,International,DFW,PHX,Premium Economy,Mobile App,Leisure,B757,Afternoon,731.9087172511707,169.71904383765212,1.2764446594535004,312,351,18.060644461879747,2073.441894811,13,11521.964447012318,17,45,None,,0,0,2025,1,Thu,88.88888888888889,52953.61812200691,6394.459322205426,87.92441470671112,72.35003064437433,Poor
FL000027,Southwest,International,SEA,MCO,Business,Website,Frequent Flyer,B737,Morning,1395.7358938408615,238.963224821952,37.74632027061625,343,401,20.11510620712687,4617.772455601884,11,11249.733014629077,13,31,None,3.887006442762771,0,0,2024,8,Sun,85.53615960099751,82002.13243420015,13064.901528356402,84.06760758466872,58.75189768785142,Good
FL000028,United,International,DEN,SEA,Economy,Call Center,Leisure,B757,Morning,2230.1909942449474,396.3381820994383,81.15193175676458,343,383,21.114441289492937,6323.8206997342895,12,12031.505760594468,38,18,None,3.9400304223991793,0,0,2024,11,Sat,89.55613577023499,136025.1483918641,18463.957433101248,86.42607072928169,60.99260051846667,Good
FL000029,Frontier,Domestic,MCO,FLL,Business,Website,Frequent Flyer,A320,Morning,1095.3032785002122,205.04699909218493,1.8012031397222261,224,283,20.64785946971024,3685.287526315346,5,9005.713959464058,29,21,None,4.922813022897067,0,0,2025,7,Sun,79.15194346289752,45932.32899978915,10329.653013777897,77.51114903442993,41.935717623966056,Good
FL000030,JetBlue,Domestic,MSP,DTW,Economy,Travel Agent,Leisure,A320,Afternoon,1445.3425781570102,333.67005819448696,42.25612916771496,157,169,19.0221373890673,4516.967357471729,6,4298.983065747738,79,30,None,2.543080597206994,0,0,2025,12,Mon,92.89940828402366,52428.45526570216,13192.74996626042,74.83666093269223,36.27406820918187,Poor
FL000031,JetBlue,Regional,DFW,SEA,Economy,Website,Group,A330,Morning,413.1891761269186,135.38192178254147,1.338192662110727,83,99,22.762613098316145,1312.6659599244429,7,2352.338603923896,3,18,Silver,4.536452988123263,0,0,2024,11,Wed,83.83838383838383,11238.037700613053,3764.2149486738626,66.50469549084606,27.198286765288074,Good
FL000032,JetBlue,Regional,MSP,PHX,Business,Website,Frequent Flyer,A320,Morning,548.2663159546864,79.2186904259449,26.86969596903902,119,139,8.152434875473341,1617.4946387783475,5,3786.5046929070827,20,55,Silver,4.47301624965701,1,0,2025,2,Mon,85.61151079136691,9453.893856656481,5147.52594787262,45.55126145986661,17.24325128417671,Excellent
FL000033,Delta,Domestic,JFK,ORD,Economy,Airport,Leisure,B777,Afternoon,2284.360031017487,376.47179943388994,72.44472538197854,221,262,1.2402762402583685,7573.193510257093,4,5787.159497465655,16,67,None,,1,0,2025,12,Mon,84.35114503816794,83272.71240027166,23120.99689520548,72.23460575648302,36.45340982576236,Good
FL000034,Southwest,International,ATL,DTW,Economy,Travel Agent,Leisure,A350,Morning,1026.0298143719983,166.60691757550106,42.024527942166024,296,338,15.930109924730962,3048.186835892213,11,8766.115948086133,24,18,None,1.7858735487858903,0,0,2025,2,Fri,87.57396449704143,49357.67213029048,8831.6523366121,82.10682968739084,48.1054950245289,Poor
FL000035,Frontier,International,BWI,LGA,Economy,Mobile App,Leisure,A320,Morning,346.0466756159739,100.12753858003538,23.562495061742702,335,374,16.456559042528017,1069.5332380717289,13,12798.696721288736,11,18,None,2.7526088501440062,0,0,2024,2,Mon,89.57219251336899,33566.28791937359,3088.183721429884,90.79974607604,96.99930756342204,Poor
FL000036,United,International,FLL,LAX,Economy,Website,Leisure,B777,Morning,2915.0296964294066,422.4113523225598,0.24408553151792545,302,344,9.439332914393388,8755.048002228137,11,12450.327660166291,69,19,Silver,3.3404677612415195,1,0,2023,11,Sat,87.79069767441861,127568.47248694459,24837.54344272258,80.5300299058888,43.76232346559009,Good
FL000037,Delta,International,MIA,MCO,Premium Economy,Website,Leisure,A350,Afternoon,897.7101157366457,175.15330058348368,52.11226649373911,259,333,0.9712059613188728,2831.7188270652346,10,6598.155191589758,70,38,None,3.8104110973072904,1,0,2024,1,Fri,77.77777777777779,45416.81711761601,8697.181106230328,80.85030687265639,50.59185178095909,Good
FL000038,JetBlue,Domestic,BWI,BOS,Business,Website,Leisure,A321,Afternoon,1035.087083671765,194.56517346939597,21.639055292406844,124,170,45.39943894810343,3292.414773954245,6,5176.575601200938,7,31,Silver,3.6972776652510877,0,0,2024,9,Thu,72.94117647058823,24147.720565497508,9248.606971645671,61.69987578512826,23.329168092638433,Good
FL000039,Southwest,Domestic,MSP,ATL,Economy,Travel Agent,Business,B787,Afternoon,1656.0852561855538,278.7774399822993,15.399373301368215,141,220,4.235313648132123,5117.073394357248,5,5463.7192957188545,12,46,None,3.5549846128936795,1,0,2025,11,Thu,64.0909090909091,39323.01841080558,14858.115258626282,62.21522187487159,23.744561618390303,Good
FL000040,Southwest,Regional,LAX,DTW,Economy,Website,Business,B737,Afternoon,680.69993052995,189.42904019178576,0.4392774795810503,84,150,9.33485542678683,2234.8923360248937,4,2107.6090451196433,2,46,Gold,,1,0,2025,5,Sun,56.00000000000001,15912.478653589586,6623.2494644898825,58.377009586776175,23.376642100141147,Good
FL000041,American,International,SEA,PHL,Economy,Travel Agent,Leisure,B777,Afternoon,1143.6153945435437,216.1677380321042,7.893180480957872,365,379,5.887839332549106,3586.9256948091893,9,15078.549017208867,18,18,None,3.313500216755868,1,0,2025,7,Wed,96.30606860158312,78909.117562199,10994.932247924717,86.06633480692759,68.99969862131346,Good
FL000042,Alaska,Regional,DFW,MCO,Premium Economy,Travel Agent,Business,B787,Night,555.0121812160278,130.00180466967785,19.649165764525634,76,129,11.813714822969038,1647.784027917912,7,2274.04263412489,21,25,None,3.639857886077911,1,0,2025,8,Wed,58.91472868217055,9899.786320660043,4619.833690165954,53.33400600248574,17.837061339752367,Good
FL000043,United,Domestic,ATL,MSP,Economy,Mobile App,Leisure,A330,Afternoon,1864.883897766679,314.20390625169404,16.010559911212702,132,185,21.28554299071287,5465.215208254256,7,4115.522562044299,11,34,None,4.769964881483516,0,0,2024,1,Sat,71.35135135135135,41490.92618513483,17073.20990063931,58.85073805183886,22.248530449977576,Good
