record_id,aircraft_type,airport_name,altitude_bin,aircraft_make_model,wildlife_number_struck,wildlife_number_struck_actual,effect_impact_to_flight,flightdate,effect_indicated_damage,aircraft_number_of_engines,aircraft_airline_operator,origin_state,when_phase_of_flight,conditions_precipitation,remains_of_wildlife_collected,remains_of_wildlife_sent_to_smithsonian,remarks,wildlife_size,conditions_sky,wildlife_species,pilot_warned_of_birds_or_wildlife,cost_total,feet_above_ground,number_of_people_injured,is_aircraft_large
239042,Airplane,MARTIN STATE ARPT,< 1000 ft,GULFSTREAM V,11 to 100,40,None,2006-10-01T00:00:00,Caused damage,2,BUSINESS,Maryland,Approach,None,FALSE,FALSE,TOTAL REBUILD OF #1 ENG. RT WING LE DENTED. RT WING FLAP DAMAGED. 16 GEESE WERE FOUND. INGESTION IN BOTH ENGS. ONE FLAME OUT. PRELIM EST $1.5 MILLION. PHOTOS.,Large,No Cloud,Canada goose,FALSE,5704387,50,0,FALSE
243744,Airplane,SAN FRANCISCO INTL ARPT,< 1000 ft,B-767-300,1,1,Precautionary Landing,2006-11-01T00:00:00,Caused damage,2,HAWAIIAN AIR,California,Climb,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 1670. CREW REPTD BIRD AS GULL OR PELICAN. AFTER 50' AFTER LIFT OFF, SAW VERY LRG BIRD RT AND BELOW NOSE. FELT IMPACT IN RT ENG, FOLLOWED BY SMELL AND ENG VIBRATION. LOUD FAN SOUND FOR THE REST OF THE FLT.  RETD TO SFO ON ALERT 2.  F",Small,Some Cloud,White-tailed kite,TRUE,5704387,50,0,TRUE
310993,Airplane,ORLANDO SANFORD INTL AIRPORT,< 1000 ft,B-767-300,1,1,Precautionary Landing,2011-04-20T00:00:00,Caused damage,2,THOMSONFLY,Florida,Climb,None,TRUE,TRUE,ID BY SMITHSONIAN. OCCURRED ON ROTATION. CREW LEVELED OFF AT 3000' AND RETD TO LAND ABOUT 20 MINS LATER. REMAINS WERE FOUND ON RWY. ENG WAS DAMAGED BUT DID NOT QUT WORKING AND WAS NOT SHUT DOWN. PAX WERE TAKEN TO HOTELS. PAX REPTD A LOUD BANG AND SMELL OF,Large,Some Cloud,Bald eagle,TRUE,4570000,10,0,TRUE
207563,Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,A-300,2 to 10,5,None,2001-06-08T00:00:00,Caused damage,2,UPS AIRLINES,New Jersey,Approach,None,FALSE,FALSE,8 BLADES DAMAGED. BENT BLADES. CANOE DAMAGE. COMPRESSOR BLADES DAMAGED AND L WING FLAP TRACK CANOE FAIRING DAMAGED WITH LGR DENT AND A 4 IN CRACK. ENG REMOVED & REPLACED.,Large,No Cloud,Canada goose,TRUE,3644483,150,0,FALSE
309667,Airplane,SACRAMENTO INTL,> 1000 ft,DC-10-30,2 to 10,7,Precautionary Landing,2011-01-07T00:00:00,Caused damage,3,FEDEX EXPRESS,California,Climb,None,TRUE,TRUE,"ID BY SMITHSONIAN. EMERGENCY WAS DELCARED AND A/C WAS DIVERTED TO OAK. #3 ENG WAS DAMAGED AND REMOVED. NOSE COWL, BOTH THRUST REVERSERS AND RADOME WERE DAMAGED. ESTIMATED COST OF REPLACEMENTS AND REPAIRS WAS $3,228,053. PHOTOS.",Large,Overcast,Greater white-fronted goose,TRUE,3228053,2000,0,TRUE
265845,Airplane,KANSAS CITY INTL,> 1000 ft,A-319,2 to 10,5,Engine Shut Down,2009-11-14T00:00:00,Caused damage,2,FRONTIER AIRLINES,Missouri,Climb,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 3896. DNA & WHOLE FEATHER. ALERT 2. PILOT BELIEVES THEY STRUCK 6-7 CANADA GEESE AT 4000 FT APPROX 4 MILES N OF ARPT.  PILOT REPORTS BOTH ENGS STALLED. RT ENG WAS SHUT DOWN. WHEN CREW TRIED TO ADVANCE THE THROTTLE, THERE WERE A SERIE",Large,Some Cloud,Snow goose,TRUE,2846160,4260,0,FALSE
250625,Airplane,COLORADO SPRINGS MUNICIPAL,> 1000 ft,CL-601/604,2 to 10,8,Precautionary Landing,2008-04-08T00:00:00,Caused damage,2,BUSINESS,Colorado,Climb,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 2387 A-D.  USDA BIOL HELPED RECOVER REMAINS FOR ID.  PHOTOS. SHORTLY AFTER DEPTR, HIT MULTIPLE PELICANS ALT 2000-4000. 1 PENETRATD THE NOSE AREA JUST BELOW WNDSHLD CENTER POST, CONTINUED THRU THE FWD BULKHEAD AND DISPLACED THE #4 DI",Large,No Cloud,American white pelican,FALSE,2164579,1800,0,FALSE
250244,Airplane,LOS ANGELES INTL,< 1000 ft,B-757-200,2 to 10,5,Precautionary Landing,2007-11-29T00:00:00,Caused damage,2,UNITED AIRLINES,California,Climb,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 2258. BIRD(S) INGESTED IN RT ENG. DECLARED EMERGENCY SHUT DOWN RT ENG & RETD TO LAND. BASED ON ENG DMG AND DISTRIBUTION OF DEBRIS (INLET ACOUSTIC TREATMENT, 13 FAN BLADES DAMAGED AND REQD REPLACEMENT. ENG WAS NOT SHUT DOWN UNTIL ON",Medium,Overcast,Western grebe,FALSE,2111275,1000,0,TRUE
309261,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,> 1000 ft,B-737-400,2 to 10,5,Precautionary Landing,2010-12-08T00:00:00,Caused damage,2,US AIRWAYS,Florida,Climb,None,TRUE,TRUE,ID BY SMITHSONIAN. BOTH SETS OF REMAINS SAME SPECIES. PILOT  REPTD SEEING 2 BIRDS IN HIS PATH & FELT A VIBRATION IN THE RT ENG. THE GENERATOR WAS MALFUNCTIONING. A PAX REPTD SEEING A FIREBALL AND SMELLING SOMETHING BURNING.  EMERGENCY LDG. #2 ENG WAS SEVE,Large,No Cloud,Turkey vulture,TRUE,2104756,1200,0,TRUE
211374,Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,B-737-300,2 to 10,6,None,2002-10-06T00:00:00,Caused damage,2,UNITED AIRLINES,New Jersey,Approach,None,TRUE,TRUE,"ATIS WARNING. MULTIPLE BIRDSTRIKES DURING LDG FLARE 5-10' AGL. 2 BIRDS FOUND IN ENG, (1 IN CORE) AND 6 DEAD BIRDS ON RWY. BIRDS HIT RADOME AND CAPT'S WINDSHLD. REPLACED NOSE COWL. 4 BLADE TIPS CHIPPED, 5 BLADES WERE TORN FROM EDGE INWARD. ENG WAS REMOVED.",Large,No Cloud,Canada goose,TRUE,1774836,10,0,TRUE
