Origin,Destination,Marketing_Airline,Operating_Airline,Flight_Duration,Distance
ZRH,AMS,KE,KE,90,325.0
ORD,BWI,UA,UA,119,541.0
DXB,CAI,KE,KE,230,1308.0
DEL,BKK,NH,NH,225,1601.0
NRT,BKK,NH,NH,410,2516.0
ANC,YYZ,KE,KE,350,2638.0
YYZ,ANC,KE,KE,405,2638.0
DXB,SEL,KE,KE,520,3658.0
SEL,YVR,KE,KE,570,4419.0
YVR,SEL,KE,KE,720,4419.0
ANC,SEL,KE,KE,515,3286.0
CDG,SEL,KE,KE,655,4831.0
CAI,DXB,KE,KE,195,1308.0
CDG,SEL,KE,KE,640,4831.0
SEL,LAX,KE,KE,650,5186.0
LAX,ORD,UA,UA,229,1517.0
BKK,DEL,NH,NH,255,1601.0
LAX,ORD,UA,UA,231,1517.0
SEL,FCO,KE,KE,750,4861.0
SEL,DXB,KE,KE,660,3658.0
SEL,ANC,KE,KE,460,3286.0
GRU,LAX,KE,KE,720,5382.0
BWI,ORD,UA,UA,128,541.0
LAX,GRU,KE,KE,700,5382.0
SEL,ZRH,KE,KE,730,4731.0
LAX,SEL,KE,KE,815,5186.0
BKK,NRT,NH,NH,330,2516.0
TLS,LYS,AF,AF,55,209.0
CCS,AUA,FQ,FQ,55,215.0
FRA,CDG,LH,LH,70,239.0
MDW,MSP,NW,NW,94,309.0
CUC,BOG,MM,MM,65,222.0
DUS,TXL,LH,LH,65,257.0
MBJ,KIN,JM,JM,35,72.0
MBJ,KIN,JM,JM,35,72.0
BOG,CLO,AV,AV,60,155.0
LIN,FCO,AZ,RD,65,262.0
DUS,HAM,LH,LH,60,185.0
RUH,HAS,SV,SV,80,310.0
SVQ,BCN,IB,IB,85,450.0
AJF,RUH,SV,SV,85,451.0
LYS,TLS,AF,AF,60,209.0
FCO,CTA,AZ,RD,70,295.0
FCO,AHO,AZ,RD,60,190.0
SOF,MXP,AZ,RD,135,657.0
LAX,SEA,AS,AS,156,831.0
HAM,STR,LH,EW,70,304.0
DCA,LGA,US,US,59,189.0
DCA,MSP,NW,NW,171,813.0
MAD,OVD,JK,JK,70,218.0
SDQ,CUR,LM,LM,70,380.0
STL,LGA,TW,TW,132,768.0
HAM,STR,LH,LH,70,304.0
IST,MUC,LH,LH,160,839.0
CGH,BSB,KK,KK,91,476.0
CMN,RAK,AT,AT,40,105.0
CMH,STL,TW,TW,90,352.0
MCO,MKE,YX,YX,170,934.0
BCN,SVQ,JK,JK,90,450.0
IST,OTP,TK,TK,80,230.0
MCI,DFW,AA,AA,100,400.0
CGH,CWB,KK,KK,47,180.0
