Origin,Destination,Marketing_Airline,Operating_Airline,Flight_Duration,Distance
NRT,BKK,NH,NH,410,2516.0
YYZ,ANC,KE,KE,405,2638.0
DXB,SEL,KE,KE,520,3658.0
SEL,YVR,KE,KE,570,4419.0
YVR,SEL,KE,KE,720,4419.0
ANC,SEL,KE,KE,515,3286.0
CDG,SEL,KE,KE,655,4831.0
CDG,SEL,KE,KE,640,4831.0
SEL,FCO,KE,KE,750,4861.0
SEL,DXB,KE,KE,660,3658.0
SEL,ANC,KE,KE,460,3286.0
SEL,ZRH,KE,KE,730,4731.0
DMM,MNL,PR,PR,555,4032.0
MNL,RUH,PR,PR,650,4203.0
SEL,YVR,SQ,SQ,590,4419.0
YVR,SEL,SQ,SQ,690,4419.0
RUH,MNL,PR,PR,580,4203.0
CHC,SIN,SQ,SQ,630,4559.0
SIN,CHC,SQ,SQ,600,4559.0
MBJ,LAX,JM,JM,410,2357.0
MNL,DMM,PR,PR,625,4032.0
HNL,MNL,PR,PR,645,4605.0
HKG,MEL,AN,AN,550,4035.0
MEL,HKG,AN,AN,555,4035.0
LIS,GRU,RG,RG,618,4318.0
SIN,AKL,NZ,NZ,605,4562.0
AKL,NGO,NZ,NZ,690,4846.0
AKL,SIN,NZ,NZ,640,4562.0
AKL,PER,NZ,NZ,445,2889.0
NGO,AKL,NZ,NZ,670,4846.0
GRU,LIS,RG,RG,579,4318.0
SEL,CGK,KE,GA,420,2879.0
BAH,CDG,GF,GF,425,2609.0
ORD,WAW,LO,LO,535,4071.0
ORD,WAW,LO,LO,535,4071.0
KUL,AUH,GF,GF,505,3030.0
WAW,ORD,LO,LO,630,4071.0
WAW,ORD,LO,LO,630,4071.0
EWR,LGW,CO,CO,410,3020.0
IAH,GRU,CO,CO,580,4294.0
CDG,SEZ,HM,HM,575,4263.0
NBO,ZRH,SR,SR,475,3312.0
BKK,ZRH,SR,SR,730,4897.0
ZRH,BKK,SR,SR,625,4897.0
ZRH,NBO,SR,SR,445,3312.0
SJU,MAD,IB,IB,465,3449.0
MAD,SDQ,IB,IB,515,3615.0
LHR,CMB,UL,UL,670,4722.0
CMB,SYD,UL,UL,630,4756.0
CCS,FRA,LH,LH,585,4381.0
DXB,FRA,LH,LH,430,2629.0
