Week,Date,Airline,Revenue
1,2023-01-01,Delta Airlines,92.0639422030918
1,2023-01-01,Southwest Airlines,68.10488022893773
1,2023-01-01,Delta Airlines,92.51686535836018
1,2023-01-01,Southwest Airlines,74.75005685925457
1,2023-01-01,Delta Airlines,89.8713396198881
1,2023-01-01,Southwest Airlines,67.72138960582575
1,2023-01-01,Delta Airlines,95.31143819058028
1,2023-01-01,Southwest Airlines,71.7276763502341
1,2023-01-01,Delta Airlines,89.16537658625325
1,2023-01-01,Southwest Airlines,70.82817760796632
1,2023-01-01,Delta Airlines,89.18354666562072
1,2023-01-01,Southwest Airlines,66.79501841934143
1,2023-01-01,Delta Airlines,91.2996865587562
1,2023-01-01,Southwest Airlines,61.00481645499127
1,2023-01-01,Delta Airlines,85.399046246519
1,2023-01-01,Southwest Airlines,66.40878731665858
1,2023-01-01,Delta Airlines,87.53530638305483
1,2023-01-01,Southwest Airlines,69.91492676400355
1,2023-01-01,Delta Airlines,87.84972751749447
1,2023-01-01,Southwest Airlines,63.0087226282813
2,2023-01-08,Delta Airlines,92.20758338470844
2,2023-01-08,Southwest Airlines,68.12779954658586
2,2023-01-08,Delta Airlines,88.01322169200755
2,2023-01-08,Southwest Airlines,63.331912003678184
2,2023-01-08,Delta Airlines,86.17748890436823
2,2023-01-08,Southwest Airlines,69.47459510737147
2,2023-01-08,Delta Airlines,84.35765634567687
2,2023-01-08,Southwest Airlines,70.5336968219147
2,2023-01-08,Delta Airlines,86.00872100818736
2,2023-01-08,Southwest Airlines,67.86412974935891
2,2023-01-08,Delta Airlines,86.00551724125559
2,2023-01-08,Southwest Airlines,76.44001748656775
2,2023-01-08,Delta Airlines,87.77014540372998
2,2023-01-08,Southwest Airlines,64.80006103270841
2,2023-01-08,Delta Airlines,90.27827181425334
2,2023-01-08,Southwest Airlines,64.14753014864792
2,2023-01-08,Delta Airlines,88.43722786295805
2,2023-01-08,Southwest Airlines,61.19222425301291
2,2023-01-08,Delta Airlines,83.82607893124849
2,2023-01-08,Southwest Airlines,69.8183496920085
3,2023-01-15,Delta Airlines,88.06183285290322
3,2023-01-15,Southwest Airlines,70.6920199701669
3,2023-01-15,Delta Airlines,85.49948826575228
3,2023-01-15,Southwest Airlines,68.80213206304985
3,2023-01-15,Delta Airlines,81.41086714181472
3,2023-01-15,Southwest Airlines,67.12717001182818
3,2023-01-15,Delta Airlines,84.46451680003763
3,2023-01-15,Southwest Airlines,74.23503575028268
3,2023-01-15,Delta Airlines,86.87728798162239
3,2023-01-15,Southwest Airlines,62.95438622395608
3,2023-01-15,Delta Airlines,86.81868502110139
3,2023-01-15,Southwest Airlines,68.46621772374175
3,2023-01-15,Delta Airlines,83.81566711199912
3,2023-01-15,Southwest Airlines,72.45325200077049
3,2023-01-15,Delta Airlines,88.93943168040485
3,2023-01-15,Southwest Airlines,73.73166732187181
3,2023-01-15,Delta Airlines,83.32878054324908
3,2023-01-15,Southwest Airlines,68.76969734200216
3,2023-01-15,Delta Airlines,86.8402234071277
3,2023-01-15,Southwest Airlines,73.90872735389645
4,2023-01-22,Delta Airlines,83.58156644131209
4,2023-01-22,Southwest Airlines,69.33803664467413
4,2023-01-22,Delta Airlines,81.70008423282988
4,2023-01-22,Southwest Airlines,65.29584605500672
4,2023-01-22,Delta Airlines,87.45666662203055
4,2023-01-22,Southwest Airlines,75.5056326656127
4,2023-01-22,Delta Airlines,84.80305879010696
4,2023-01-22,Southwest Airlines,74.0948041428975
4,2023-01-22,Delta Airlines,86.10399722999087
4,2023-01-22,Southwest Airlines,67.50019353290891
4,2023-01-22,Delta Airlines,86.10327597137321
4,2023-01-22,Southwest Airlines,76.23281881719328
4,2023-01-22,Delta Airlines,84.91161103751811
4,2023-01-22,Southwest Airlines,76.33924717458542
4,2023-01-22,Delta Airlines,77.15985384257873
4,2023-01-22,Southwest Airlines,73.3682825688303
4,2023-01-22,Delta Airlines,85.28023035956248
4,2023-01-22,Southwest Airlines,68.88464314946593
4,2023-01-22,Delta Airlines,85.29437148445447
4,2023-01-22,Southwest Airlines,62.13039689292583
5,2023-01-29,Delta Airlines,84.32010868221856
5,2023-01-29,Southwest Airlines,69.45976973832067
5,2023-01-29,Delta Airlines,89.41280647995565
5,2023-01-29,Southwest Airlines,65.9582385791791
5,2023-01-29,Delta Airlines,82.55364353705153
5,2023-01-29,Southwest Airlines,66.02429127793555
5,2023-01-29,Delta Airlines,87.72533069883731
5,2023-01-29,Southwest Airlines,69.34632389091243
5,2023-01-29,Delta Airlines,83.38984373442997
5,2023-01-29,Southwest Airlines,70.08438918472712
5,2023-01-29,Delta Airlines,85.27035699377521
5,2023-01-29,Southwest Airlines,71.90589941440525
5,2023-01-29,Delta Airlines,82.87296506409903
5,2023-01-29,Southwest Airlines,66.72067086588262
5,2023-01-29,Delta Airlines,83.80279988633463
5,2023-01-29,Southwest Airlines,62.17725965974522
5,2023-01-29,Delta Airlines,85.86748517692482
5,2023-01-29,Southwest Airlines,69.07554054099325
5,2023-01-29,Delta Airlines,84.99446471565848
