,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,TAIL_NUM,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED
789,2016,1,1,12,2,DL,N964AT,2205,JFK,MSP,1835,1830.0,-5.0,0.0,2059,2046.0,-13.0,0.0,0.0
2507,2016,1,3,27,7,DL,N588NW,783,MSP,ATL,630,638.0,8.0,0.0,958,1002.0,4.0,0.0,0.0
2376,2016,1,3,26,6,DL,N174DZ,857,ATL,SEA,730,727.0,-3.0,0.0,957,932.0,-25.0,0.0,0.0
1378,2016,1,2,23,2,DL,N939DN,1096,DTW,MSP,1203,1156.0,-7.0,0.0,1310,1249.0,-21.0,0.0,0.0
598,2016,1,1,26,2,DL,N951DL,427,JFK,ATL,1715,1710.0,-5.0,0.0,2003,1941.0,-22.0,0.0,0.0
1589,2016,1,2,10,3,DL,N3757D,2221,MSP,SEA,1130,1129.0,-1.0,0.0,1322,1316.0,-6.0,0.0,0.0
2580,2016,2,4,5,2,DL,N335NB,987,MSP,DTW,1946,2003.0,17.0,1.0,2227,2228.0,1.0,0.0,0.0
366,2016,1,1,19,2,DL,N594NW,784,ATL,MSP,835,849.0,14.0,0.0,1020,1025.0,5.0,0.0,0.0
2320,2016,1,3,24,4,DL,N810DN,2604,SEA,MSP,1305,1310.0,5.0,0.0,1825,1816.0,-9.0,0.0,0.0
1247,2016,1,2,17,3,DL,N810DN,2610,ATL,MSP,730,728.0,-2.0,0.0,910,912.0,2.0,0.0,0.0
2224,2016,1,3,21,1,DL,N678DL,1699,SEA,JFK,2339,25.0,46.0,1.0,757,821.0,24.0,1.0,0.0
3615,2016,2,5,7,6,DL,N861DA,220,JFK,ATL,1925,1919.0,-6.0,0.0,2204,2125.0,-39.0,0.0,0.0
4176,2016,2,5,26,4,DL,N554NW,2393,MSP,ATL,1940,1955.0,15.0,1.0,2312,2335.0,23.0,1.0,0.0
1640,2016,1,2,1,1,DL,N938DN,2382,ATL,MSP,1915,1912.0,-3.0,0.0,2108,2047.0,-21.0,0.0,0.0
1136,2016,1,2,13,6,DL,N939DL,996,ATL,JFK,1000,1003.0,3.0,0.0,1209,1211.0,2.0,0.0,0.0
3437,2016,2,5,1,7,DL,N805DN,1770,SEA,MSP,1510,1606.0,56.0,1.0,2038,2143.0,65.0,1.0,0.0
4448,2016,2,6,2,4,DL,N362NB,712,ATL,DTW,600,559.0,-1.0,0.0,756,741.0,-15.0,0.0,0.0
1188,2016,1,2,14,7,DL,N813NW,1929,SEA,ATL,1440,1501.0,21.0,1.0,2215,2211.0,-4.0,0.0,0.0
3332,2016,2,4,17,7,DL,N910DE,1893,DTW,ATL,835,833.0,-2.0,0.0,1040,1022.0,-18.0,0.0,0.0
1080,2016,1,2,12,5,DL,N850DN,721,ATL,MSP,1645,1645.0,0.0,0.0,1835,1852.0,17.0,1.0,0.0
1480,2016,1,2,27,6,DL,N548US,991,ATL,DTW,1215,1227.0,12.0,0.0,1418,1418.0,0.0,0.0,0.0
3954,2016,2,5,18,3,DL,N802DN,1357,MSP,DTW,1755,1750.0,-5.0,0.0,2040,2029.0,-11.0,0.0,0.0
4184,2016,2,5,27,5,DL,N820DN,1598,SEA,ATL,600,552.0,-8.0,0.0,1400,1339.0,-21.0,0.0,0.0
4062,2016,2,5,23,1,DL,N854DN,894,SEA,MSP,820,817.0,-3.0,0.0,1350,1321.0,-29.0,0.0,0.0
412,2016,1,1,19,2,DL,N998AT,2312,MSP,JFK,1755,1748.0,-7.0,0.0,2149,2118.0,-31.0,0.0,0.0
4579,2016,2,6,9,4,DL,N585NW,785,MSP,ATL,1317,1316.0,-1.0,0.0,1654,1645.0,-9.0,0.0,0.0
4979,2016,2,6,20,1,DL,N635DL,2795,ATL,DTW,1620,1642.0,22.0,1.0,1831,1840.0,9.0,0.0,0.0
2055,2016,1,3,15,2,DL,N373NW,1419,DTW,ATL,2035,2032.0,-3.0,0.0,2234,2215.0,-19.0,0.0,0.0
4195,2016,2,5,28,6,DL,N856DN,985,ATL,SEA,1745,1742.0,-3.0,0.0,2007,1947.0,-20.0,0.0,0.0
3383,2016,2,4,1,5,DL,N1609,1578,ATL,SEA,824,834.0,10.0,0.0,1051,1053.0,2.0,0.0,0.0
3314,2016,2,4,11,1,DL,N911DE,888,MSP,ATL,1625,1626.0,1.0,0.0,1959,1954.0,-5.0,0.0,0.0
416,2016,1,1,20,3,DL,N944AT,2312,MSP,JFK,1755,1755.0,0.0,0.0,2149,2127.0,-22.0,0.0,0.0
2967,2016,2,4,19,2,DL,N339NW,1888,DTW,ATL,2015,2010.0,-5.0,0.0,2218,2151.0,-27.0,0.0,0.0
526,2016,1,1,23,6,DL,N940DL,2350,ATL,JFK,810,,,,1025,,,,1.0
2100,2016,1,3,17,4,DL,N3762Y,629,ATL,DTW,910,909.0,-1.0,0.0,1106,1055.0,-11.0,0.0,0.0
3735,2016,2,5,11,3,DL,N920DN,721,ATL,MSP,1702,1656.0,-6.0,0.0,1843,1854.0,11.0,0.0,0.0
886,2016,1,2,4,4,DL,N961DN,946,DTW,MSP,1735,1750.0,15.0,1.0,1843,1905.0,22.0,1.0,0.0
2995,2016,2,4,20,3,DL,N591NW,1630,MSP,SEA,928,926.0,-2.0,0.0,1119,1056.0,-23.0,0.0,0.0
3387,2016,2,4,2,6,DL,N838DN,1619,ATL,SEA,940,938.0,-2.0,0.0,1207,1200.0,-7.0,0.0,0.0
3929,2016,2,5,18,3,DL,N1608,17,ATL,SEA,1100,1054.0,-6.0,0.0,1319,1319.0,0.0,0.0,0.0
1263,2016,1,2,18,4,DL,N827DN,1549,MSP,ATL,1747,1747.0,0.0,0.0,2119,2043.0,-36.0,0.0,0.0
3339,2016,2,4,23,6,DL,N954DL,2074,ATL,MSP,1750,1747.0,-3.0,0.0,1934,1923.0,-11.0,0.0,0.0
1839,2016,1,3,7,1,DL,N976DL,425,JFK,ATL,1559,1607.0,8.0,0.0,1840,1827.0,-13.0,0.0,0.0
432,2016,1,1,12,2,DL,N583NW,783,MSP,ATL,620,630.0,10.0,0.0,948,948.0,0.0,0.0,0.0
1833,2016,1,3,6,7,DL,N723TW,2350,ATL,JFK,830,828.0,-2.0,0.0,1049,1032.0,-17.0,0.0,0.0
