flight_id,airline,aircraft_model,manufacture_year,flight_hours,cycles,passengers_capacity,actual_passengers,crew_count,fuel_capacity_gallons,fuel_used_gallons,distance_miles,incident_type,maintenance_score,delay_minutes,revenue_usd
FL00001,Spirit,Airbus A350,2011,46350,14846,250,120,7,25000,12931.2,4798.0,None,96.7,11,233141.17
FL00002,Southwest,Embraer E175,2001,7598,3445,350,263,7,10000,9500.0,3894.3,None,81.6,-10,254890.65
FL00003,Frontier,Boeing 777,2021,39504,895,150,114,8,6000,5700.0,3099.3,None,79.3,-10,80394.97
FL00004,JetBlue,Airbus A350,2020,40230,1214,250,250,8,25000,5112.3,4955.0,None,75.5,26,272568.76
FL00005,Spirit,Boeing 787,2008,16495,13004,150,150,11,20000,11328.7,1473.6,None,77.3,6,41554.17
FL00006,Allegiant,Airbus A330,2011,49446,5954,350,234,6,15000,13652.0,499.2,None,78.7,-9,234937.7
FL00007,American,Airbus A350,2012,2637,13781,200,200,10,20000,19000.0,354.2,None,77.0,14,33616.92
FL00008,Spirit,Airbus A350,2007,19326,21794,150,148,6,6000,5700.0,3611.3,None,97.4,-7,53600.65
FL00009,Frontier,Embraer E175,2014,15316,404,350,291,6,6000,5700.0,4185.1,None,97.8,-10,51135.2
FL00010,JetBlue,Airbus A330,2023,18713,18306,350,207,9,15000,10899.1,3248.5,None,98.4,25,32582.16
FL00011,Southwest,Boeing 777,2014,3109,18458,300,147,7,8000,7206.7,4544.1,None,99.0,28,122581.54
FL00012,Frontier,Embraer E175,2015,24468,2867,250,91,8,8000,7600.0,3550.3,None,87.3,15,348108.07
FL00013,Frontier,Boeing 777,2021,29427,3882,300,188,7,8000,7600.0,1980.6,None,88.3,-10,131655.5
FL00014,American,Boeing 757,2012,14309,12517,200,200,6,10000,7483.4,1070.0,None,78.3,42,269859.93
FL00015,Alaska,Embraer E175,1998,48543,8307,250,250,8,8000,7600.0,4638.3,None,78.4,41,59326.2
FL00016,JetBlue,Airbus A330,1995,15129,13157,200,121,5,10000,9500.0,697.3,None,94.3,30,167254.51
FL00017,United,Boeing 737,2012,2177,12508,300,292,11,10000,9500.0,2806.3,None,96.4,11,77013.8
FL00018,Frontier,Airbus A330,1995,14007,10763,350,67,4,8000,7600.0,1707.2,None,94.6,7,79352.55
FL00019,Alaska,Airbus A330,2020,36735,2631,200,126,4,8000,6126.0,1502.8,Bird Strike,95.9,14,48396.16
FL00020,United,Boeing 777,2020,49020,9632,250,94,6,15000,14250.0,3300.0,None,81.9,-10,159734.79
FL00021,JetBlue,Boeing 777,2007,4973,18920,250,189,10,25000,15609.6,1309.9,None,86.7,-6,40304.2
FL00022,Delta,Airbus A330,2014,8735,8468,200,200,7,15000,5108.4,4598.6,None,86.5,-7,319786.8
FL00023,Allegiant,Airbus A330,2014,33165,18877,250,250,5,10000,9500.0,2149.0,None,99.9,17,165046.61
FL00024,Alaska,Airbus A330,2017,45963,14469,350,141,8,15000,4639.0,3451.4,None,98.7,10,295919.66
FL00025,Hawaiian,Boeing 777,2004,41904,11864,350,71,10,10000,9500.0,3693.2,None,90.0,-10,343120.59
FL00026,Delta,Airbus A330,2021,33883,1086,250,221,7,6000,5700.0,3478.1,None,78.4,-10,242056.02
FL00027,Allegiant,Airbus A330,2005,34252,10074,200,141,6,10000,9500.0,4536.3,None,81.5,12,317006.1
FL00028,American,Boeing 757,2003,41613,10982,300,241,7,10000,7477.5,1309.4,None,84.1,-10,60348.12
FL00029,Spirit,Airbus A320,2003,29192,7485,250,126,6,15000,14250.0,613.1,None,96.8,-10,293047.87
FL00030,Southwest,Boeing 737,1999,17753,1598,250,250,9,25000,23154.1,466.2,None,79.3,47,105857.81
FL00031,Hawaiian,Boeing 787,2020,32563,5115,250,228,4,6000,5700.0,4413.7,None,80.5,51,173320.34
FL00032,American,Boeing 737,1995,34128,22930,250,250,10,20000,13982.1,4871.8,None,83.7,-4,231605.19
FL00033,JetBlue,Airbus A320,2011,40569,22617,200,184,4,20000,8036.0,1652.1,None,98.2,-10,317687.1
FL00034,American,Boeing 787,2016,21047,20391,300,300,7,25000,21729.2,3528.9,None,87.6,29,320182.92
FL00035,Spirit,Embraer E175,1996,30078,3457,300,68,5,20000,19000.0,242.8,None,91.2,12,45854.3
FL00036,JetBlue,Airbus A330,2018,22156,689,150,132,8,6000,5700.0,1105.4,None,84.7,20,137126.09
FL00037,Hawaiian,Airbus A320,2007,29107,222,250,250,6,8000,7600.0,3508.5,None,79.7,-8,280713.69
FL00038,Spirit,Boeing 757,2003,43269,5716,250,250,8,6000,5700.0,516.3,None,80.6,-10,250557.56
FL00039,United,Embraer E175,2023,48387,4404,150,150,4,15000,6230.9,2448.8,None,95.1,0,23828.07
FL00040,Southwest,Airbus A330,1998,44732,20393,300,300,11,10000,9500.0,3380.4,None,97.3,8,165712.95
FL00041,Hawaiian,Boeing 777,1999,48549,10159,180,180,5,10000,9500.0,3876.6,None,87.3,-10,292799.79
FL00042,United,Airbus A350,2005,5643,2936,350,217,5,15000,13330.2,2378.3,None,83.9,31,262124.29
FL00043,Allegiant,Airbus A320,2018,21167,2214,180,180,8,15000,14250.0,3225.4,None,95.2,-10,152969.68
FL00044,Hawaiian,Boeing 777,2013,45356,3995,300,240,4,10000,9500.0,2790.0,None,91.8,13,261278.98
FL00045,Allegiant,Airbus A320,2015,25197,21669,250,219,11,25000,5659.8,451.1,None,76.0,8,199655.59
FL00046,JetBlue,Boeing 757,1997,42947,10451,180,94,8,8000,7600.0,3765.5,None,83.8,29,320730.71
FL00047,United,Airbus A320,2006,43612,7796,200,63,7,8000,7600.0,1027.3,None,92.1,-10,211687.6
FL00048,Southwest,Boeing 777,2020,3909,12025,200,200,5,8000,7600.0,352.7,None,89.3,19,149245.95
FL00049,Spirit,Boeing 757,2013,22291,19024,150,150,5,15000,9120.6,2365.6,None,99.5,15,304078.41
FL00050,Frontier,Boeing 787,2013,21367,7804,300,183,7,10000,5462.7,4355.1,None,96.7,10,31706.06
FL00051,American,Boeing 737,2007,7306,15646,300,86,4,25000,16727.3,924.0,None,76.5,-10,316671.07
FL00052,Delta,Airbus A330,2022,21157,21368,180,102,5,10000,9500.0,261.7,None,93.1,-10,248276.18
FL00053,Southwest,Airbus A320,2001,29092,20510,250,67,10,10000,9500.0,727.9,None,83.4,-1,330102.96
FL00054,United,Airbus A330,2009,46614,5235,300,87,11,25000,23424.1,1945.6,None,92.1,-5,98919.13
FL00055,Frontier,Airbus A350,2017,16095,1143,180,180,9,6000,5700.0,2984.8,None,90.4,30,247798.66
FL00056,Southwest,Boeing 777,2001,48903,3930,180,180,9,25000,5933.8,1126.5,None,87.6,8,286170.19
FL00057,United,Airbus A330,2020,44539,10736,350,292,9,6000,5700.0,4049.4,None,96.3,21,250204.36
FL00058,Alaska,Boeing 777,2002,13310,22993,350,349,6,20000,11399.2,3815.8,None,92.7,-10,85461.79
FL00059,Alaska,Airbus A330,1999,17893,10821,300,84,10,6000,5700.0,3540.1,None,97.2,-10,107322.51
FL00060,Allegiant,Boeing 737,2015,26370,10730,180,180,6,8000,7600.0,2539.9,None,82.0,1,204858.69
