YEAR,MONTH,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CRS_ELAPSED_TIME,DISTANCE
2016,1,ATL,SEA,2.0,-41.0,338.0,2182.0
2016,1,ATL,SEA,2.0,-33.0,335.0,2182.0
2016,1,SEA,DTW,-4.0,8.0,247.0,1927.0
2016,1,ATL,MSP,0.0,-11.0,166.0,907.0
2016,1,MSP,SEA,0.0,-10.0,230.0,1399.0
2016,1,ATL,JFK,3.0,-9.0,133.0,760.0
2016,1,ATL,MSP,-4.0,-1.0,159.0,907.0
2016,1,DTW,ATL,-2.0,-25.0,126.0,594.0
2016,1,JFK,ATL,-2.0,-19.0,158.0,760.0
2016,1,SEA,JFK,0.0,-11.0,315.0,2422.0
2016,1,ATL,SEA,23.0,2.0,335.0,2182.0
2016,1,MSP,DTW,-1.0,-11.0,103.0,528.0
2016,1,ATL,DTW,-1.0,-13.0,117.0,594.0
2016,1,MSP,SEA,-1.0,-21.0,225.0,1399.0
2016,1,MSP,ATL,-2.0,-18.0,150.0,907.0
2016,1,ATL,SEA,1.0,-21.0,339.0,2182.0
2016,1,DTW,ATL,5.0,-17.0,124.0,594.0
2016,1,SEA,MSP,1.0,16.0,192.0,1399.0
2016,1,ATL,MSP,14.0,10.0,160.0,907.0
2016,1,DTW,ATL,-2.0,-20.0,124.0,594.0
2016,1,ATL,SEA,7.0,3.0,335.0,2182.0
2016,1,MSP,SEA,0.0,-25.0,234.0,1399.0
2016,1,SEA,MSP,0.0,-3.0,193.0,1399.0
2016,1,DTW,JFK,-3.0,-20.0,115.0,509.0
2016,1,DTW,JFK,9.0,13.0,115.0,509.0
2016,1,ATL,DTW,1.0,-5.0,114.0,594.0
2016,1,DTW,MSP,-5.0,-18.0,129.0,528.0
2016,1,JFK,SEA,-2.0,-20.0,380.0,2422.0
2016,1,ATL,JFK,1.0,-13.0,148.0,760.0
2016,1,SEA,DTW,2.0,8.0,249.0,1927.0
2016,1,JFK,MSP,-2.0,-12.0,199.0,1029.0
2016,1,MSP,DTW,0.0,5.0,95.0,528.0
2016,1,JFK,MSP,29.0,24.0,200.0,1029.0
2016,1,SEA,MSP,51.0,44.0,197.0,1399.0
2016,1,MSP,ATL,2.0,-16.0,150.0,907.0
2016,1,DTW,MSP,3.0,-15.0,131.0,528.0
2016,1,MSP,ATL,-5.0,-32.0,161.0,907.0
2016,1,MSP,DTW,0.0,2.0,101.0,528.0
2016,1,ATL,DTW,-2.0,-6.0,118.0,594.0
2016,1,ATL,SEA,4.0,-17.0,335.0,2182.0
2016,1,DTW,ATL,-5.0,-16.0,133.0,594.0
2016,1,DTW,MSP,-8.0,-24.0,122.0,528.0
2016,1,DTW,JFK,-1.0,-13.0,119.0,509.0
2016,1,DTW,SEA,-3.0,-44.0,315.0,1927.0
2016,1,MSP,DTW,-6.0,-13.0,104.0,528.0
2016,1,JFK,ATL,-1.0,-24.0,158.0,760.0
2016,1,MSP,SEA,-3.0,-4.0,230.0,1399.0
2016,1,MSP,DTW,-3.0,-19.0,104.0,528.0
2016,1,DTW,ATL,7.0,0.0,134.0,594.0
2016,1,MSP,ATL,0.0,-3.0,153.0,907.0
2016,1,MSP,SEA,-5.0,-25.0,232.0,1399.0
2016,1,ATL,MSP,-1.0,-32.0,173.0,907.0
2016,1,DTW,MSP,-4.0,-22.0,126.0,528.0
2016,1,MSP,DTW,-9.0,-17.0,104.0,528.0
2016,1,DTW,ATL,-4.0,-24.0,132.0,594.0
2016,1,SEA,MSP,3.0,-1.0,202.0,1399.0
2016,1,SEA,MSP,-1.0,-2.0,202.0,1399.0
2016,1,DTW,ATL,-4.0,-19.0,133.0,594.0
2016,1,DTW,MSP,0.0,-18.0,123.0,528.0
2016,1,SEA,ATL,-3.0,1.0,277.0,2182.0
2016,1,SEA,MSP,-1.0,-1.0,198.0,1399.0
2016,1,MSP,ATL,0.0,-3.0,153.0,907.0
2016,1,MSP,SEA,-4.0,-28.0,232.0,1399.0
2016,1,ATL,MSP,1.0,-32.0,173.0,907.0
2016,1,MSP,ATL,5.0,15.0,149.0,907.0
2016,1,ATL,MSP,-1.0,-17.0,164.0,907.0
2016,1,SEA,DTW,-6.0,6.0,255.0,1927.0
2016,1,ATL,DTW,11.0,-11.0,124.0,594.0
2016,1,MSP,SEA,-5.0,-17.0,228.0,1399.0
