DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
12,4,9E,11193,10821,212,193
9,2,9E,11193,14100,-3,-15
21,3,B6,12451,12478,-10,-20
1,4,AA,11298,13891,5,-6
30,7,OO,11292,10800,0,0
8,1,VX,12892,10721,1,2
24,5,WN,11292,13232,-4,-14
19,5,AA,11298,12953,32,33
15,1,9E,11193,11433,26,15
3,4,DL,13487,14100,-3,-7
29,1,UA,10529,13930,-3,-5
8,6,WN,15304,10821,0,-19
29,1,WN,13796,14747,0,-7
30,7,WN,14679,10423,2,2
8,1,WN,12889,14679,14,20
17,6,DL,12892,12478,-8,-12
2,3,MQ,12953,11042,-7,-24
3,6,B6,14100,10721,14,-4
14,7,WN,10397,13204,-1,-12
12,5,UA,12892,11618,-5,10
24,3,DL,10397,11057,-7,-11
13,4,B6,14747,10721,37,22
4,5,MQ,11057,13930,-10,-7
6,5,OO,13487,13198,-6,-10
31,3,WN,12889,14893,1,-9
21,3,AA,14771,11298,5,12
2,5,DL,12478,13303,-1,2
15,3,EV,13930,14524,17,12
3,1,DL,10397,10693,3,-4
17,3,WN,15304,11292,39,16
1,1,DL,10397,13495,0,-3
27,7,EV,11042,11057,33,24
6,2,EV,11042,10693,1,-10
27,2,AS,12892,14747,-11,-27
11,2,UA,11618,12892,-3,-4
17,1,WN,12889,15376,-1,-10
8,4,OO,14057,14747,-6,-5
5,1,EV,12266,11298,-4,3
6,1,WN,14771,12889,3,-8
21,5,OO,11292,14869,-8,-21
14,1,AA,13303,12953,-3,12
10,1,AA,11298,14492,2,3
13,5,AA,12892,12889,47,63
24,3,WN,14908,14831,-2,-7
8,1,DL,10397,14869,6,-8
13,5,WN,12889,11066,-1,15
24,5,AA,11278,15016,6,6
28,6,WN,13342,10821,0,-9
13,7,UA,15304,13930,-5,4
6,6,AS,14747,13487,2,0
22,1,WN,11292,10140,6,-2
24,4,FL,11697,10397,11,8
27,4,US,14747,11057,1,-20
22,3,AA,10397,11298,-6,-19
23,4,MQ,11057,13930,180,186
8,2,AA,11298,12173,-3,-18
15,2,WN,14747,13232,1,-4
14,7,UA,12266,10721,-2,-30
30,1,DL,13871,13487,-7,-10
12,5,EV,11618,14492,-5,-7
7,7,WN,13796,11292,15,4
26,4,WN,12889,10800,26,29
9,7,UA,14107,12266,-7,-14
6,4,OO,12954,14869,-6,-17
18,2,YV,10693,11057,95,87
14,6,UA,11292,12889,1,-3
29,4,EV,12266,11057,-10,-6
3,3,US,14107,14831,-5,-17
13,5,UA,12892,12266,-5,-11
14,5,WN,11292,10397,15,11
18,4,OO,11298,13930,1,-14
13,7,WN,13232,12953,-4,-11
7,1,WN,13796,14908,1,-8
16,2,OO,14679,12892,6,8
2,4,DL,13487,12889,-3,-7
31,5,MQ,13930,13495,119,195
9,2,MQ,10792,13930,-10,-26
13,2,US,14100,11292,37,105
22,3,UA,14679,12266,16,-2
1,1,WN,13232,12889,-2,-25
22,3,WN,13204,10693,-2,-8
16,7,DL,12478,12892,0,6
11,3,UA,12266,11278,-12,15
15,1,AS,14747,14107,7,5
14,7,9E,13487,10529,-2,-3
