YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,DISTANCE
2016,2,17,2,UA,1432,N24715,DFW,IAH,530,524,-6,70,59,224
2016,2,18,3,MQ,3659,N686MQ,SGF,DFW,525,524,-1,92,112,364
2016,2,18,3,B6,1554,N534JB,SJU,FLL,528,524,-4,161,165,1046
2016,2,18,3,DL,1221,N328NW,MSO,MSP,530,524,-6,165,149,1013
2016,2,19,4,MQ,3659,N668MQ,SGF,DFW,525,524,-1,92,96,364
2016,2,19,4,B6,2228,N197JB,MCO,EWR,530,524,-6,150,163,937
2016,2,19,4,DL,1221,N356NW,MSO,MSP,530,524,-6,165,147,1013
2016,2,19,4,DL,2023,N310DE,CHS,ATL,530,524,-6,73,66,259
2016,2,19,4,EV,4568,N13913,LFT,IAH,530,524,-6,67,58,201
2016,2,19,4,NK,409,N521NK,ORD,FLL,530,524,-6,181,167,1182
2016,2,19,4,OO,5460,N234SW,RDD,SFO,530,524,-6,86,92,199
2016,2,20,5,DL,1780,N985DL,BNA,ATL,525,524,-1,70,63,214
2016,2,20,5,DL,1221,N315US,MSO,MSP,530,524,-6,165,148,1013
2016,2,20,5,OO,5460,N560SW,RDD,SFO,530,524,-6,86,72,199
2016,2,21,6,AA,328,N3DTAA,DEN,DFW,523,524,1,116,127,641
2016,2,21,6,B6,2228,N187JB,MCO,EWR,530,524,-6,150,149,937
2016,2,22,7,UA,1114,N54241,LAS,IAH,530,524,-6,177,158,1222
2016,2,23,1,DL,2554,N927AT,DLH,MSP,510,524,14,67,63,144
2016,2,23,1,OO,5460,N567SW,RDD,SFO,530,524,-6,86,81,199
2016,2,24,2,OO,7423,N441SW,BRD,MSP,530,524,-6,49,61,114
2016,2,24,2,B6,2001,N281JB,BUF,JFK,535,524,-11,88,82,301
2016,2,25,3,OO,5249,N793SK,DSM,IAH,525,524,-1,160,161,802
2016,2,25,3,OO,6391,N969SW,EUG,DEN,530,524,-6,163,154,996
2016,2,25,3,EV,4885,N371CA,BGR,LGA,530,524,-6,109,123,378
2016,2,25,3,OO,6459,N746SK,DAY,ORD,530,524,-6,80,61,240
2016,2,26,4,WN,2418,N657SW,LAS,PHX,520,524,4,65,51,255
2016,2,26,4,EV,4209,N14558,BTR,IAH,525,524,-1,72,74,253
2016,2,26,4,OO,5249,N782SK,DSM,IAH,525,524,-1,160,160,802
2016,2,26,4,DL,2520,N549US,JAX,ATL,530,524,-6,70,65,270
2016,2,26,4,EV,4557,N14162,CRP,IAH,535,524,-11,62,62,201
2016,2,27,5,DL,2294,N966DL,GSO,ATL,525,524,-1,80,103,306
2016,2,27,5,US,843,N708UW,RIC,CLT,525,524,-1,77,95,257
2016,2,27,5,DL,1221,N358NW,MSO,MSP,530,524,-6,165,149,1013
2016,2,27,5,EV,4568,N11121,LFT,IAH,530,524,-6,67,84,201
2016,2,27,5,OO,4997,N724SK,SBN,ORD,530,524,-6,59,40,84
2016,2,27,5,OO,4461,N630SK,GRB,ATL,535,524,-11,147,142,774
2016,2,28,6,US,641,N661AW,MSP,PHX,520,524,4,202,225,1276
2016,2,28,6,EV,3262,N15555,TYR,IAH,530,524,-6,63,70,163
2016,3,1,7,OO,5628,N961SW,RNO,SFO,530,524,-6,70,86,192
2016,3,2,1,EV,4209,N15555,BTR,IAH,525,524,-1,72,70,253
