,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,TAIL_NUM,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE
2764,2016,2,4,11,1,DL,N914DL,2824,12478.0,JFK,11433.0,DTW,905,858.0,-7.0,0.0,1124,1121.0,-3.0,0.0,0.0,0.0,139.0,143.0,509.0
4767,2016,2,6,15,3,DL,N954DN,782,11433.0,DTW,13487.0,MSP,1000,958.0,-2.0,0.0,1045,1042.0,-3.0,0.0,0.0,0.0,105.0,104.0,528.0
3814,2016,2,5,13,5,DL,N957DN,1267,10397.0,ATL,11433.0,DTW,1800,1806.0,6.0,0.0,2004,2005.0,1.0,0.0,0.0,0.0,124.0,119.0,594.0
3499,2016,2,5,4,3,DL,N396DA,1089,11433.0,DTW,13487.0,MSP,1530,1530.0,0.0,0.0,1632,1613.0,-19.0,0.0,0.0,0.0,122.0,103.0,528.0
2735,2016,2,4,6,3,DL,N3746H,2017,14747.0,SEA,11433.0,DTW,934,932.0,-2.0,0.0,1645,1624.0,-21.0,0.0,0.0,0.0,251.0,232.0,1927.0
3922,2016,2,5,17,2,DL,N662DN,2052,11433.0,DTW,10397.0,ATL,959,953.0,-6.0,0.0,1154,1147.0,-7.0,0.0,0.0,0.0,115.0,114.0,594.0
2701,2016,2,4,10,7,DL,N915DN,2324,11433.0,DTW,10397.0,ATL,959,953.0,-6.0,0.0,1204,1203.0,-1.0,0.0,0.0,0.0,125.0,130.0,594.0
1179,2016,1,2,11,4,DL,N904DA,929,11433.0,DTW,10397.0,ATL,1627,1632.0,5.0,0.0,1840,1814.0,-26.0,0.0,0.0,0.0,133.0,102.0,594.0
932,2016,1,2,6,6,DL,N3746H,822,14747.0,SEA,11433.0,DTW,700,657.0,-3.0,0.0,1415,1403.0,-12.0,0.0,0.0,0.0,255.0,246.0,1927.0
792,2016,1,1,12,2,DL,N3743H,2424,14747.0,SEA,11433.0,DTW,1348,1344.0,-4.0,0.0,2104,2042.0,-22.0,0.0,0.0,0.0,256.0,238.0,1927.0
1852,2016,1,3,8,2,DL,N907DA,630,11433.0,DTW,10397.0,ATL,1737,1734.0,-3.0,0.0,1943,1946.0,3.0,0.0,0.0,0.0,126.0,132.0,594.0
1185,2016,1,2,14,7,DL,N813DN,1549,13487.0,MSP,10397.0,ATL,1747,1752.0,5.0,0.0,2119,2138.0,19.0,1.0,0.0,0.0,152.0,166.0,907.0
1724,2016,1,3,2,3,DL,N139DL,2283,11433.0,DTW,10397.0,ATL,615,613.0,-2.0,0.0,824,819.0,-5.0,0.0,0.0,0.0,129.0,126.0,594.0
4080,2016,2,5,22,7,DL,N813DN,1770,14747.0,SEA,13487.0,MSP,1510,1507.0,-3.0,0.0,2038,2025.0,-13.0,0.0,0.0,0.0,208.0,198.0,1399.0
3823,2016,2,5,14,6,DL,N909DA,592,10397.0,ATL,13487.0,MSP,1050,1102.0,12.0,0.0,1223,1250.0,27.0,1.0,0.0,0.0,153.0,168.0,907.0
4054,2016,2,5,20,5,DL,N843DN,2487,12478.0,JFK,14747.0,SEA,1925,1930.0,5.0,0.0,2247,2220.0,-27.0,0.0,0.0,0.0,382.0,350.0,2422.0
2721,2016,2,4,9,6,DL,N588NW,1363,11433.0,DTW,14747.0,SEA,1215,1214.0,-1.0,0.0,1417,1418.0,1.0,0.0,0.0,0.0,302.0,304.0,1927.0
3903,2016,2,5,17,2,DL,N828DN,589,13487.0,MSP,14747.0,SEA,1123,1123.0,0.0,0.0,1300,1248.0,-12.0,0.0,0.0,0.0,217.0,205.0,1399.0
1865,2016,1,3,9,3,DL,N979DL,425,12478.0,JFK,10397.0,ATL,1559,1607.0,8.0,0.0,1840,1823.0,-17.0,0.0,0.0,0.0,161.0,136.0,760.0
759,2016,1,1,29,5,DL,N917DE,1121,11433.0,DTW,10397.0,ATL,2005,2002.0,-3.0,0.0,2219,2146.0,-33.0,0.0,0.0,0.0,134.0,104.0,594.0
