,FlightDate,Carrier,Origin,Dest,Distance,DistanceGroup
19778,2017-09-04,AA,PHX,SAN,304.0,2
4376,2017-09-22,HA,LIH,OGG,201.0,1
10188,2017-09-12,UA,MCO,EWR,937.0,4
9887,2017-09-20,WN,DEN,EWR,1605.0,7
4441,2017-09-23,NK,DFW,ATL,731.0,3
8455,2017-09-05,UA,SFO,LAX,337.0,2
6321,2017-09-19,EV,EWR,ORF,284.0,2
6328,2017-09-07,UA,SNA,IAH,1346.0,6
4636,2017-09-28,WN,DEN,MCI,533.0,3
10347,2017-09-19,DL,MSP,EWR,1008.0,5
1704,2017-09-18,AA,DFW,TUS,813.0,4
15505,2017-09-07,UA,ORD,CMH,296.0,2
9272,2017-09-08,UA,SEA,ORD,1721.0,7
2938,2017-09-10,AA,PHL,ATL,666.0,3
8213,2017-09-03,DL,CVG,ATL,373.0,2
12565,2017-09-16,AA,MCO,PHL,861.0,4
4277,2017-09-24,DL,SLC,SEA,689.0,3
13334,2017-09-04,UA,ORD,PHX,1440.0,6
13090,2017-09-10,AA,DFW,SNA,1205.0,5
2542,2017-09-01,DL,MSP,DTW,528.0,3
7525,2017-09-11,OO,CID,MSP,220.0,1
19921,2017-09-03,UA,MCO,SFO,2446.0,10
3457,2017-09-02,UA,ORD,JAC,1162.0,5
858,2017-09-01,AA,BOS,DCA,399.0,2
12760,2017-09-12,AA,DEN,DFW,641.0,3
16137,2017-09-02,OO,DTW,MSN,311.0,2
5307,2017-09-15,WN,SJC,LAX,308.0,2
6797,2017-09-14,AA,PHL,CLT,449.0,2
8569,2017-09-26,EV,SHV,DFW,190.0,1
17981,2017-09-04,AS,SEA,SMF,605.0,3
9988,2017-09-22,WN,DEN,MCO,1546.0,7
6431,2017-09-21,OO,PHX,YUM,160.0,1
695,2017-09-16,OO,SEA,LAX,954.0,4
6689,2017-09-06,AS,SEA,OGG,2640.0,11
4349,2017-09-03,WN,OAK,MSY,1903.0,8
4682,2017-09-27,EV,LGA,RDU,431.0,2
19756,2017-09-22,DL,EWR,DTW,488.0,2
14180,2017-09-07,EV,ATL,TRI,227.0,1
7756,2017-09-08,OO,OKC,DEN,495.0,2
2123,2017-09-08,EV,EWR,DCA,199.0,1
13956,2017-09-15,WN,MDW,SMF,1790.0,8
4382,2017-09-30,WN,MCO,MDW,990.0,4
7523,2017-09-10,UA,ORD,SFO,1846.0,8
11184,2017-09-06,AS,ANC,OME,539.0,3
18086,2017-09-07,UA,LAX,EWR,2454.0,10
15083,2017-09-30,WN,LAS,MDW,1521.0,7
612,2017-09-14,AA,CLT,ORD,599.0,3
9844,2017-09-20,DL,BNA,DTW,456.0,2
14842,2017-09-04,OO,CLT,CVG,335.0,2
9715,2017-09-28,DL,DAB,ATL,366.0,2
18542,2017-09-22,OO,DEN,HDN,141.0,1
16,2017-09-11,DL,IND,MSP,503.0,3
17619,2017-09-16,NK,MSP,PHL,980.0,4
209,2017-09-25,DL,MSN,ATL,707.0,3
16518,2017-09-18,NK,OAK,ORD,1836.0,8
17197,2017-09-12,AA,ATL,LGA,762.0,4
4153,2017-09-06,DL,BUF,MSP,735.0,3
9980,2017-09-24,B6,JFK,PBI,1028.0,5
13974,2017-09-10,DL,CVG,FLL,932.0,4
1506,2017-09-12,DL,DTW,PVD,615.0,3
9262,2017-09-05,WN,BWI,CMH,337.0,2
1001,2017-09-28,WN,MCI,BWI,967.0,4
18799,2017-09-15,DL,SLC,LAX,590.0,3
8863,2017-09-12,AA,CLT,MIA,650.0,3
11071,2017-09-05,AA,MIA,LGA,1096.0,5
3556,2017-09-01,OO,ORD,FNT,223.0,1
8120,2017-09-11,WN,MDW,DAL,793.0,4
17807,2017-09-06,WN,OAK,RNO,181.0,1
10293,2017-09-08,UA,SFO,EWR,2565.0,11
4984,2017-09-22,DL,BNA,DTW,456.0,2
10889,2017-09-12,DL,IAH,ATL,689.0,3
9963,2017-09-29,EV,DFW,BTR,383.0,2
14212,2017-09-03,DL,LAS,DTW,1749.0,7
