,FlightDate,Carrier,FlightNum,Origin,Dest,Flights,Distance
234,2017-09-21,OO,4744.0,SLC,RAP,1.0,508.0
235,2017-09-26,OO,5983.0,DEN,BNA,1.0,1014.0
236,2017-09-08,AS,843.0,SEA,KOA,1.0,2688.0
237,2017-09-24,AA,1695.0,PHL,DFW,1.0,1303.0
238,2017-09-25,DL,2287.0,CAE,ATL,1.0,192.0
239,2017-09-28,DL,2538.0,EWR,MSP,1.0,1008.0
240,2017-09-27,OO,3340.0,SAN,SMF,1.0,480.0
241,2017-09-05,WN,42.0,MAF,HOU,1.0,441.0
242,2017-09-11,DL,442.0,JFK,BOS,1.0,187.0
243,2017-09-27,AA,2665.0,TUL,DFW,1.0,237.0
244,2017-09-15,UA,444.0,SFO,BOS,1.0,2704.0
245,2017-09-23,B6,1734.0,PBI,DCA,1.0,857.0
246,2017-09-26,DL,1867.0,VPS,ATL,1.0,250.0
247,2017-09-19,WN,127.0,ALB,BWI,1.0,289.0
248,2017-09-19,WN,819.0,FLL,DEN,1.0,1703.0
249,2017-09-02,WN,2407.0,LAS,SMF,1.0,397.0
250,2017-09-03,AA,2505.0,DCA,ORD,1.0,612.0
251,2017-09-13,WN,6069.0,LAS,BDL,1.0,2297.0
252,2017-09-21,AA,2590.0,MIA,BNA,1.0,806.0
253,2017-09-22,OO,4686.0,MSP,SAT,1.0,1097.0
254,2017-09-15,AS,499.0,SAN,SEA,1.0,1050.0
255,2017-09-02,OO,4292.0,GJT,SLC,1.0,216.0
256,2017-09-11,OO,3448.0,SEA,PDX,1.0,129.0
257,2017-09-08,WN,620.0,DAL,DEN,1.0,651.0
258,2017-09-29,EV,4330.0,IAH,RIC,1.0,1157.0
259,2017-09-29,DL,1063.0,ATL,DTW,1.0,594.0
260,2017-09-25,OO,3141.0,ORD,MSN,1.0,108.0
261,2017-09-18,HA,111.0,ITO,OGG,1.0,121.0
262,2017-09-07,WN,250.0,SFO,SNA,1.0,372.0
263,2017-09-15,UA,1052.0,ORF,ORD,1.0,717.0
264,2017-09-27,DL,883.0,ATL,MKE,1.0,669.0
265,2017-09-26,AA,1062.0,SAT,DFW,1.0,247.0
266,2017-09-22,EV,5368.0,ATL,AVL,1.0,164.0
267,2017-09-29,DL,1347.0,LAX,MSP,1.0,1535.0
268,2017-09-24,DL,1503.0,PDX,MSP,1.0,1426.0
269,2017-09-19,AS,430.0,SEA,LAX,1.0,954.0
270,2017-09-18,DL,2022.0,SLC,OAK,1.0,588.0
271,2017-09-19,UA,2038.0,SJC,EWR,1.0,2548.0
272,2017-09-10,WN,4795.0,SAN,OAK,1.0,446.0
273,2017-09-17,OO,4979.0,ATL,MLU,1.0,448.0
274,2017-09-04,WN,1590.0,MDW,HOU,1.0,937.0
275,2017-09-22,EV,3836.0,ABQ,IAH,1.0,744.0
276,2017-09-12,WN,1578.0,SDF,MCO,1.0,719.0
277,2017-09-21,DL,2941.0,JFK,ATL,1.0,760.0
278,2017-09-25,EV,5251.0,ATL,MOB,1.0,302.0
279,2017-09-14,WN,288.0,MDW,LAX,1.0,1750.0
280,2017-09-23,B6,76.0,MSY,JFK,1.0,1182.0
281,2017-09-18,OO,4937.0,SAN,LAX,1.0,109.0
282,2017-09-06,VX,1872.0,DAL,DCA,1.0,1184.0
283,2017-09-11,AA,682.0,CLT,LGA,1.0,544.0
284,2017-09-21,WN,801.0,DCA,IND,1.0,500.0
285,2017-09-21,OO,5906.0,BNA,ORD,1.0,409.0
286,2017-09-22,DL,783.0,MSP,MSY,1.0,1039.0
287,2017-09-12,AA,1669.0,RDU,LGA,1.0,431.0
288,2017-09-18,OO,4551.0,RDM,SLC,1.0,525.0
289,2017-09-06,WN,127.0,BWI,LAS,1.0,2106.0
290,2017-09-22,AA,2083.0,RIC,CLT,1.0,257.0
291,2017-09-03,OO,5557.0,FSD,ORD,1.0,462.0
292,2017-09-25,UA,456.0,SAT,DEN,1.0,794.0
293,2017-09-21,AA,53.0,ORD,TPA,1.0,1012.0
294,2017-09-29,UA,1814.0,IAH,TPA,1.0,787.0
295,2017-09-21,DL,1199.0,STL,ATL,1.0,484.0
296,2017-09-19,DL,1339.0,BWI,ATL,1.0,577.0
297,2017-09-25,NK,812.0,DFW,TPA,1.0,929.0
298,2017-09-26,VX,1069.0,IAD,SFO,1.0,2419.0
299,2017-09-16,UA,522.0,SFO,PDX,1.0,550.0
300,2017-09-10,AA,1820.0,CLT,RSW,1.0,600.0
301,2017-09-22,UA,1082.0,IAH,SAT,1.0,191.0
302,2017-09-21,NK,768.0,ATL,DTW,1.0,594.0
303,2017-09-01,DL,1995.0,DCA,MSP,1.0,931.0
304,2017-09-08,AA,1145.0,ORD,SFO,1.0,1846.0
305,2017-09-01,HA,526.0,HNL,OGG,1.0,100.0
306,2017-09-18,UA,578.0,ORD,BOS,1.0,867.0
307,2017-09-14,NK,110.0,DTW,BOS,1.0,632.0
308,2017-09-03,WN,3909.0,MCO,FLL,1.0,177.0
309,2017-09-26,OO,4962.0,BOS,CVG,1.0,752.0
