FlightDate,Carrier,FlightNum,Origin,Dest,Flights,Distance
2017-09-23,UA,1067,PHX,ORD,1.0,1440.0
2017-09-29,DL,1130,ATL,MSP,1.0,907.0
2017-09-03,B6,1245,BOS,CLT,1.0,728.0
2017-09-13,F9,973,COS,LAX,1.0,833.0
2017-09-08,DL,837,ATL,HNL,1.0,4502.0
2017-09-10,UA,833,LGA,IAH,1.0,1416.0
2017-09-30,AA,2223,ORD,LAX,1.0,1744.0
2017-09-22,UA,2000,PHX,ORD,1.0,1440.0
2017-09-09,AS,115,SAN,LIH,1.0,2676.0
2017-09-12,UA,590,PIT,ORD,1.0,413.0
2017-09-15,OO,4773,ORD,DTW,1.0,235.0
2017-09-08,UA,396,HNL,SFO,1.0,2398.0
2017-09-25,DL,1542,SEA,DTW,1.0,1927.0
2017-09-13,DL,1944,ATL,BOS,1.0,946.0
2017-09-22,OO,4830,MSP,ISN,1.0,546.0
2017-09-26,OO,4793,ATL,SHV,1.0,551.0
2017-09-11,DL,1495,IND,MSP,1.0,503.0
2017-09-25,DL,1114,SLC,BWI,1.0,1865.0
2017-09-14,DL,1397,MSP,SEA,1.0,1399.0
2017-09-01,DL,517,DTW,MSN,1.0,311.0
2017-09-18,AS,61,YAK,CDV,1.0,213.0
2017-09-24,OO,3022,BFL,PHX,1.0,425.0
2017-09-18,AA,258,LAX,DCA,1.0,2311.0
2017-09-22,OO,7430,SLC,LWS,1.0,461.0
2017-09-24,UA,1927,DFW,EWR,1.0,1372.0
2017-09-24,WN,4265,TPA,HOU,1.0,781.0
2017-09-17,AA,2141,LGA,BOS,1.0,184.0
2017-09-29,WN,1839,DAL,ECP,1.0,674.0
2017-09-11,DL,1724,SLC,EWR,1.0,1969.0
2017-09-13,DL,1306,PHL,MSP,1.0,980.0
2017-09-12,DL,1154,JAN,ATL,1.0,341.0
2017-09-12,WN,1602,BWI,MCO,1.0,787.0
2017-09-14,AA,637,CLT,LAS,1.0,1916.0
2017-09-01,WN,277,BDL,TPA,1.0,1111.0
2017-09-07,B6,1625,SJC,LGB,1.0,324.0
2017-09-07,OO,4552,MSP,MSO,1.0,1013.0
2017-09-28,UA,559,LAS,DEN,1.0,628.0
2017-09-29,EV,3791,LBB,IAH,1.0,458.0
2017-09-14,UA,2073,MIA,IAH,1.0,964.0
2017-09-21,WN,1970,ATL,MCO,1.0,404.0
2017-09-25,VX,1222,SFO,AUS,1.0,1504.0
2017-09-02,WN,376,PHX,LAS,1.0,255.0
2017-09-13,AA,1755,PHX,SJC,1.0,621.0
2017-09-12,WN,355,MDW,BNA,1.0,395.0
2017-09-12,WN,1357,RDU,BWI,1.0,255.0
2017-09-25,NK,414,FLL,BWI,1.0,925.0
2017-09-19,EV,5363,HPN,ATL,1.0,780.0
2017-09-28,DL,1545,DCA,ATL,1.0,547.0
2017-09-20,F9,1263,ORD,LAS,1.0,1514.0
2017-09-18,AA,1263,JFK,LAS,1.0,2248.0
2017-09-15,DL,2308,MIA,DTW,1.0,1145.0
2017-09-18,WN,1685,SAN,AUS,1.0,1164.0
2017-09-22,AS,141,LAS,SEA,1.0,867.0
2017-09-14,WN,910,DEN,STL,1.0,770.0
2017-09-02,AS,593,SEA,ONT,1.0,956.0
2017-09-05,F9,332,DEN,MSP,1.0,680.0
2017-09-15,UA,2406,EWR,TYS,1.0,631.0
2017-09-16,AA,1740,JAX,CLT,1.0,328.0
2017-09-05,WN,1902,SLC,DEN,1.0,391.0
2017-09-02,WN,2042,AUS,PHX,1.0,872.0
2017-09-25,EV,3927,BTV,EWR,1.0,266.0
2017-09-07,DL,162,DEN,MSP,1.0,680.0
2017-09-21,WN,121,PVD,MCO,1.0,1072.0
2017-09-08,WN,223,TPA,ATL,1.0,406.0
2017-09-29,WN,1500,MKE,LAS,1.0,1524.0
2017-09-07,AS,99,SEA,ANC,1.0,1448.0
2017-09-11,AA,1870,MSY,CLT,1.0,651.0
2017-09-29,WN,6141,DEN,MSP,1.0,680.0
2017-09-15,OO,2949,ORD,FWA,1.0,157.0
2017-09-03,DL,1215,LAX,ATL,1.0,1947.0
2017-09-08,DL,192,MCO,ATL,1.0,404.0
2017-09-06,DL,2865,ATL,STL,1.0,484.0
2017-09-23,UA,1194,EWR,LAS,1.0,2227.0
2017-09-27,EV,3849,IAH,LCH,1.0,127.0
2017-09-12,WN,6264,SLC,PHX,1.0,507.0
2017-09-29,EV,3863,MOB,IAH,1.0,427.0
2017-09-11,AA,538,MSY,DCA,1.0,969.0
2017-09-17,B6,801,MCO,SLC,1.0,1931.0
2017-09-16,NK,712,IAH,EWR,1.0,1400.0
2017-09-17,DL,1131,LGA,FLL,1.0,1076.0
2017-09-27,OO,4571,CLE,MSP,1.0,622.0
2017-09-04,OO,5435,PHX,LAX,1.0,370.0
