Origin,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Marketing_Airline,Operating_Airline,Marketing Airline Name,Operating Airline Name,Code Share,Fleet,Manufacturer,Flight No,Effective Date,Discontinued Date,Departure Time,Arrival Time,Flight_Duration,Departure Terminal,Arrival Terminal,Restricted Code,Frequency,Schedule Type,DepCount,Operating Airline   Capacity,Operating Airline   ASM(Nautical)(Millions),Distance
NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,BKK,SUVARNABHUMI INTERNATIONAL,BANGKOK,THAILAND,SOUTHEAST ASIA,NH,NH,All Nippon Airways Co. Ltd.,All Nippon Airways Co. Ltd.,NO,777,BOEING,925,20001101,20001130,10:00,14:50,410,2,2, , 1---5-- ,AIR,2,752,1.89,2516.0
YYZ,LESTER B. PEARSON INTL AIRPORT,TORONTO,CANADA,NORTH AMERICA,ANC,TED STEVENS INTERNATIONAL AIRPORT,ANCHORAGE,UNITED STATES,NORTH AMERICA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,74,20001101,20001130,23:20,2:05,405,3,,A, --3--6- ,AIR,2,752,1.98,2638.0
DXB,DUBAI INTERNATIONAL AIRPORT,DUBAI,UNITED ARAB EMIRATES,GULF,SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,952,20001101,20001130,17:05,6:45,520,1,2, , -2--5-- ,AIR,2,752,2.75,3658.0
SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,NORTH AMERICA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,71,20001101,20001130,18:20,10:50,570,2,M, , -2--5-- ,AIR,2,752,3.32,4419.0
YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,NORTH AMERICA,SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,72,20001101,20001130,12:45,17:45,720,M,2, , -2--5-- ,AIR,2,752,3.32,4419.0
ANC,TED STEVENS INTERNATIONAL AIRPORT,ANCHORAGE,UNITED STATES,NORTH AMERICA,SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,74,20001102,20001130,3:30,6:05,515,,2, , ---4--7 ,AIR,2,752,2.47,3286.0
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,902,20001101,20001130,21:20,16:15,655,2A,2, , -2-4--- ,AIR,2,752,3.63,4831.0
CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,902,20001101,20001130,21:20,16:00,640,2A,2, , 1----6- ,AIR,2,752,3.63,4831.0
SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,61,20001101,20001130,19:00,12:50,650,2,B, , --3---7 ,AIR,2,752,3.9,5186.0
SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,FCO,FIUMICINO AIRPORT,ROME,ITALY,WESTERN EUROPE,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,915,20001101,20001130,13:15,17:45,750,2,C, , ----5-7 ,AIR,2,752,3.66,4861.0
SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,DXB,DUBAI INTERNATIONAL AIRPORT,DUBAI,UNITED ARAB EMIRATES,GULF,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,951,20001101,20001130,20:30,2:30,660,2,1, , 1--4--- ,AIR,2,752,2.75,3658.0
SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,ANC,TED STEVENS INTERNATIONAL AIRPORT,ANCHORAGE,UNITED STATES,NORTH AMERICA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,73,20001101,20001130,19:00,8:40,460,2,, , --3--6- ,AIR,2,752,2.47,3286.0
GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,62,20001101,20001130,1:10,7:10,720,2,B, , -2--5-- ,AIR,2,752,4.05,5382.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,61,20001101,20001130,14:50,8:30,700,B,2, , --3---7 ,AIR,2,752,4.05,5382.0
SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,917,20001101,20001130,13:05,17:15,730,2,B, , -2---6- ,AIR,2,752,3.56,4731.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,KE,KE,Korean Air Lines Co. Ltd.,Korean Air Lines Co. Ltd.,NO,744,BOEING,62,20001101,20001130,9:00,15:35,815,B,2, , -2--5-- ,AIR,2,752,3.9,5186.0
DMM,KING FAHD INTERNATIONAL AIRPORT,DAMMAM,SAUDI ARABIA,GULF,MNL,NINOY AQUINO INTERNATIONAL AIRPORT,MANILA,PHILIPPINES,SOUTHEAST ASIA,PR,PR,"Philippine Airlines, Inc.","Philippine Airlines, Inc.",NO,343,AIRBUS,657,20001101,20001129,22:30,12:45,555,,C2, , 1-3-5-- ,AIR,3,750,3.02,4032.0
MNL,NINOY AQUINO INTERNATIONAL AIRPORT,MANILA,PHILIPPINES,SOUTHEAST ASIA,RUH,KING KALID INTERNATIONAL AIRPORT,RIYADH,SAUDI ARABIA,GULF,PR,PR,"Philippine Airlines, Inc.","Philippine Airlines, Inc.",NO,343,AIRBUS,658,20001101,20001130,15:55,21:45,650,C2,1, , -2-4--7 ,AIR,3,750,3.15,4203.0
SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,NORTH AMERICA,SQ,SQ,Singapore Airlines Limited,Singapore Airlines Limited,NO,343,AIRBUS,18,20001102,20001130,16:20,9:10,590,2,M, , 1--4-6- ,AIR,3,750,3.31,4419.0
YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,NORTH AMERICA,SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,SQ,SQ,Singapore Airlines Limited,Singapore Airlines Limited,NO,343,AIRBUS,17,20001101,20001130,12:50,17:20,690,M,2, , 1--4-6- ,AIR,3,750,3.31,4419.0
RUH,KING KALID INTERNATIONAL AIRPORT,RIYADH,SAUDI ARABIA,GULF,MNL,NINOY AQUINO INTERNATIONAL AIRPORT,MANILA,PHILIPPINES,SOUTHEAST ASIA,PR,PR,"Philippine Airlines, Inc.","Philippine Airlines, Inc.",NO,343,AIRBUS,659,20001101,20001130,23:15,13:55,580,1,C2, , -2-4--7 ,AIR,3,750,3.15,4203.0
CHC,CHRISTCHURCH INTERNATIONAL AIRPORT,CHRISTCHURCH,NEW ZEALAND,PACIFIC,SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,SQ,SQ,Singapore Airlines Limited,Singapore Airlines Limited,NO,343,AIRBUS,298,20001101,20001130,15:05,20:35,630,M,2, , -2---67 ,AIR,3,750,3.42,4559.0
CPH,KASTRUP AIRPORT,COPENHAGEN,DENMARK,WESTERN EUROPE,SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,SQ,SQ,Singapore Airlines Limited,Singapore Airlines Limited,NO,343,AIRBUS,351,20001101,20001130,11:30,6:30,720,2,2, , 1----67 ,AIR,3,750,4.05,5399.0
FCO,FIUMICINO AIRPORT,ROME,ITALY,WESTERN EUROPE,SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,SQ,SQ,Singapore Airlines Limited,Singapore Airlines Limited,NO,343,AIRBUS,339,20001101,20001130,12:20,7:30,730,C,2, , 1--4-6- ,AIR,3,750,4.08,5442.0
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,FCO,FIUMICINO AIRPORT,ROME,ITALY,WESTERN EUROPE,SQ,SQ,Singapore Airlines Limited,Singapore Airlines Limited,NO,343,AIRBUS,340,20001101,20001130,0:30,7:00,810,2,C, , 1--4-6- ,AIR,3,750,4.08,5442.0
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,CHC,CHRISTCHURCH INTERNATIONAL AIRPORT,CHRISTCHURCH,NEW ZEALAND,PACIFIC,SQ,SQ,Singapore Airlines Limited,Singapore Airlines Limited,NO,343,AIRBUS,297,20001101,20001130,21:00,12:00,600,2,M, , 1---56- ,AIR,3,750,3.42,4559.0
MBJ,SANGSTER INTERNATIONAL AIRPORT,MONTEGO BAY,JAMAICA,CARIBBEAN,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,JM,JM,Jambojet Limited,Jambojet Limited,NO,320,AIRBUS,75,20001101,20001130,17:30,21:20,410,,5, , 1-3-567 ,AIR,5,750,1.77,2357.0
MNL,NINOY AQUINO INTERNATIONAL AIRPORT,MANILA,PHILIPPINES,SOUTHEAST ASIA,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,PR,PR,"Philippine Airlines, Inc.","Philippine Airlines, Inc.",NO,343,AIRBUS,104,20001101,20001130,22:15,18:40,745,C2,I, , -2-4-6- ,AIR,3,750,4.55,6071.0
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,MNL,NINOY AQUINO INTERNATIONAL AIRPORT,MANILA,PHILIPPINES,SOUTHEAST ASIA,PR,PR,"Philippine Airlines, Inc.","Philippine Airlines, Inc.",NO,343,AIRBUS,105,20001101,20001130,22:00,5:20,920,I,C2, , -2-4-6- ,AIR,3,750,4.55,6071.0
MNL,NINOY AQUINO INTERNATIONAL AIRPORT,MANILA,PHILIPPINES,SOUTHEAST ASIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,PR,PR,"Philippine Airlines, Inc.","Philippine Airlines, Inc.",NO,343,AIRBUS,108,20001101,20001130,13:30,10:40,790,C2,B, , -2-4-6- ,AIR,3,750,4.76,6345.0
MNL,NINOY AQUINO INTERNATIONAL AIRPORT,MANILA,PHILIPPINES,SOUTHEAST ASIA,DMM,KING FAHD INTERNATIONAL AIRPORT,DAMMAM,SAUDI ARABIA,GULF,PR,PR,"Philippine Airlines, Inc.","Philippine Airlines, Inc.",NO,343,AIRBUS,656,20001101,20001129,15:30,20:55,625,C2,, , 1-3-5-- ,AIR,3,750,3.02,4032.0
HNL,HONOLULU INTERNATIONAL AIRPORT,HONOLULU,UNITED STATES,NORTH AMERICA,MNL,NINOY AQUINO INTERNATIONAL AIRPORT,MANILA,PHILIPPINES,SOUTHEAST ASIA,PR,PR,"Philippine Airlines, Inc.","Philippine Airlines, Inc.",NO,343,AIRBUS,109,20001101,20001130,18:05,22:50,645,M,C2,I, -2-4-6- ,AIR,3,750,3.45,4605.0
HKG,HONG KONG INTERNATIONAL AIRPORT,HONG KONG,HONG KONG - CHINA,FAR EAST ASIA,MEL,MELBOURNE AIRPORT,MELBOURNE,AUSTRALIA,AUSTRALIA,AN,AN,"Advanced Air, LLC","Advanced Air, LLC",NO,763,BOEING,876,20001101,20001130,21:15,9:25,550,,M, , --3-56- ,AIR,3,744,3.0,4035.0
