Origin,Destination,Marketing_Airline,Operating_Airline,Flight_Duration,Distance,Narrow_Set
BOS,BGR,YX,MQ,70,172,0
AMS,STN,KL,UK,60,175,0
LNZ,FRA,LH,NG,75,248,0
CVG,STL,AF,OH,83,268,1
FWA,DTW,KL,NW,52,107,1
ABZ,LHR,IB,BA,85,351,0
MEX,TRC,MX,AM,95,444,0
LAX,MRY,CO,AA,85,231,0
LRD,IAH,AF,CO,90,265,0
DCA,DTW,CA,NW,100,357,1
GSP,DTW,KL,NW,117,444,0
SEA,PDX,NW,QX,50,110,0
NPL,AKL,SQ,NZ,45,124,0
SEA,PSC,NW,QX,55,145,1
KWI,BAH,NW,KL,60,227,1
NPL,AKL,AN,NZ,45,124,1
SEA,GEG,NW,QX,55,197,0
JFK,BOS,JL,MQ,78,166,1
STR,TXL,BA,DI,75,284,0
NUE,FRA,UA,LH,50,100,0
DUB,GLA,BA,EI,60,159,1
VGO,MAD,BA,IB,65,253,0
MRS,TUN,AF,TU,100,460,0
FSD,MSP,KL,NW,57,172,1
GIG,BSB,UA,RG,89,493,1
LHR,FRA,BD,LH,95,356,1
NRT,FUK,AA,JL,115,510,1
YEG,SEA,NW,QX,100,491,1
BRE,FRA,AC,LH,65,186,1
MUC,ARN,SK,LH,145,720,0
MUC,CGN,UA,LH,70,239,1
TGZ,VER,MX,QA,75,237,0
ATL,FLL,AF,DL,118,509,0
PTP,FDF,AF,TX,35,104,0
FAT,LAX,YX,MQ,76,181,1
JNB,CPT,DL,SA,130,697,1
SBP,LAX,AS,MQ,64,132,1
HNL,OGG,NW,HA,35,91,1
ATL,DTW,CA,NW,119,521,1
ATL,TPA,AM,DL,87,355,1
MUC,VIE,OS,CL,70,192,1
JNB,WDH,DL,SA,130,635,0
GLA,LHR,AC,BD,80,298,1
MUC,HAJ,UA,LH,75,265,0
ATL,STL,AM,DL,120,425,1
ORD,BOS,AS,AA,130,751,0
OSL,FRA,AC,LH,135,622,0
ORD,DEN,LH,UA,154,771,0
FLR,BRU,AA,SN,115,505,1
ORD,OMA,AC,UA,86,364,1
GSO,RDU,NW,CO,36,56,0
MIA,IAH,NW,CO,169,836,0
MCO,ORD,SK,UA,174,878,1
BWI,DTW,CO,NW,95,358,1
BGO,SVG,KL,BU,30,87,1
SJD,IAH,NW,CO,156,878,0
OGG,HNL,NW,HA,32,91,0
DFW,IAH,NW,CO,65,200,0
CMX,MSP,CO,XJ,90,238,0
DEN,MZT,AC,MX,160,1014,1
ZRH,MXP,PE,LX,50,112,0
ZRH,MRS,SR,FU,75,287,1
BHM,IAH,NW,CO,122,489,0
MAN,DUS,LH,BD,85,356,0
ZRH,OSL,AA,SR,140,771,0
ZRH,FCO,PE,SR,85,383,0
VHM,LYC,SK,JZ,20,48,0
DEN,SFO,AC,UA,164,841,1
TRF,SVG,SK,WF,55,143,1
KOA,HNL,CO,HA,38,141,0
DUS,TXL,BA,DI,70,257,0
ALB,BOS,YX,MQ,60,123,1
DFW,TYR,YX,MQ,42,85,0
TRF,BGO,SK,WF,55,169,0
TRN,CDG,DL,AF,85,315,1
MAN,ABZ,LH,BD,65,229,0
ZRH,TRN,PE,B5,55,149,1
DEN,LAX,NZ,UA,142,751,0
GVA,ZRH,AA,SR,50,130,0
DFW,MTY,AM,EV,110,461,0
GVA,NCE,SR,FU,60,157,1
LAX,PVR,NW,AS,168,1064,1
MEM,CVG,KL,XJ,82,356,1
EWR,DEN,AC,UA,260,1394,0
RNN,CPH,SK,DM,30,78,0
DTW,JFK,CA,NW,111,444,0
FRA,PAD,SA,LH,55,100,1
VER,TAM,MX,AM,65,216,1
FRA,TXL,UA,LH,65,238,0
MCT,AUH,AA,GF,55,212,1
DTW,BUF,KL,XJ,65,211,1
EYW,MIA,UA,3M,50,113,0
MSP,DTW,CA,NW,109,458,1
CLE,BOS,NW,CO,105,491,0
FRA,GVA,NH,LH,65,250,0
FRA,AGP,SK,LH,170,991,0
SYD,MEL,NZ,AN,80,381,1
SYD,BNE,NZ,AN,85,408,1
EWR,CLE,BR,CO,110,355,1
SFO,SNA,AC,UA,90,323,0
FRA,DRS,SQ,LH,60,207,1
CLE,IND,NW,CO,78,229,1
FRA,TXL,JK,LH,65,238,0
DTW,EWR,AF,CO,107,427,0
FRA,STR,SA,LH,40,85,1
EWR,ALB,NW,CO,76,127,0
FRA,TXL,UA,LH,65,238,0
EWR,ORD,NW,CO,146,625,1
MIA,IAD,LH,UA,151,803,0
CLE,CMH,NW,CO,56,99,0
MSP,ATL,KL,NW,152,797,0
MSP,BZN,CO,NW,151,760,1
PRG,FRA,UA,LH,70,222,0
VIE,LNZ,SK,VO,40,95,1
FRA,IST,SK,LH,165,996,0
CLE,YYZ,NW,CO,69,167,1
MSP,MKE,KL,NW,81,256,0
DTW,MSP,CA,NW,114,458,0
MSP,GRR,KL,NW,78,354,0
FRA,BUD,AC,LH,95,451,0
VIE,ZAG,OU,MH,60,145,0
ATL,LAS,SA,DL,260,1514,1
CTU,PEK,NW,CA,140,841,1
SMF,ORD,LH,UA,237,1551,0
XFR,XFP,SK,9B,13,6,1
PDX,MFR,NW,QX,65,194,1
ACV,RDD,NW,QX,40,87,1
BOS,ISP,NW,AA,70,132,1
CPH,LHR,BD,SK,130,532,1
DTW,SJU,CO,NW,272,1691,1
CLE,BOS,NW,CO,113,491,1
FRA,LED,AC,LH,175,948,1
FRA,BLL,LH,DM,80,345,0
UTT,JNB,SA,4Z,95,335,1
FRA,LIS,OS,LH,175,1014,0
VIE,VCE,OS,VO,70,237,0
MSP,SFO,CA,NW,253,1384,1
FRA,GVA,NH,LH,65,250,1
MSP,LAS,KL,NW,210,1130,1
FRA,LUX,LH,LG,40,93,1
CLE,PHX,NW,CO,269,1512,1
FRA,MUC,SA,LH,55,163,0
CLE,ORD,SR,AA,88,271,0
MSP,LNK,CO,XJ,110,292,0
DTW,GRB,KL,NW,85,251,1
FRA,MLA,OS,LH,150,895,1
TLV,TAS,HY,LY,285,1743,1
MEL,BNE,NZ,AN,125,744,0
PRG,ZRH,SR,OK,75,271,0
PRG,KSC,CO,OK,90,284,1
EWR,STL,NW,CO,175,756,0
EWR,ATL,AM,DL,140,656,0
FLL,IAH,NW,CO,166,840,1
MIA,TPA,UA,3M,65,175,0
MEL,SYD,NZ,AN,80,381,1
PRG,TXL,OK,LH,60,158,0
GRX,MAD,BA,IB,55,199,1
TYS,DTW,CO,NW,99,385,0
FRA,SZG,LH,VO,65,221,1
FRA,FDH,SK,LH,50,152,0
SJU,ATL,AM,DL,250,1353,1
VIE,FRA,OS,LH,100,335,1
SAV,ATL,AM,DL,65,188,1
VIE,GRZ,OS,VO,45,82,1
DTW,LEX,CO,XJ,100,256,0
MSP,SDF,KL,NW,107,531,1
CLE,MBS,NW,CO,73,163,0
EWR,ORD,AC,UA,141,625,0
MEL,SYD,NZ,AN,80,381,1
DTW,DSM,KL,XJ,111,460,0
MSP,RNO,KL,NW,223,1219,0
TYS,MEM,CO,9E,110,296,1
TMP,OUL,SK,KF,65,223,1
DTW,ORD,AS,AA,84,200,1
SJO,GLF,LR,RZ,60,104,0
FRA,HAM,NZ,LH,65,228,1
FLL,CLE,NW,CO,178,935,1
AUH,RUH,GF,AT,110,431,1
FRA,NUE,AC,LH,45,100,1
DTW,MCI,AZ,NW,129,544,0
BNE,MEL,NZ,AN,135,744,0
EWR,ORD,NW,CO,153,625,1
MSP,GRB,CO,NW,61,216,1
VAA,TKU,SK,KF,55,146,1
DTW,SEA,KL,NW,293,1675,1
EYW,TPA,UA,3M,75,212,0
DTW,IAH,HP,CO,183,934,0
EWR,BDL,NW,CO,66,99,0
FRA,HAJ,AC,LH,50,155,1
MSP,MDW,CA,NW,78,309,0
EWR,AUA,NW,CO,299,1725,0
EWR,MIA,NW,CO,183,952,0
VIE,ARN,SK,OS,145,700,0
MSP,DEN,CO,NW,125,593,1
FRA,LYS,SK,LH,75,293,1
PTY,EWR,NW,CO,304,1937,1
ORY,MRS,BA,IW,80,347,1
AGP,MAD,UA,JK,65,234,1
AKL,NAN,UA,NZ,185,1177,0
ROC,ORD,AS,AA,113,458,1
SZG,ZRH,AA,LX,60,178,0
MID,MEX,DL,AM,115,543,0
PZB,JNB,SA,4Z,80,249,1
MTS,JNB,SA,4Z,65,167,1
AKL,WLG,AN,NZ,60,261,1
AKL,CHC,AN,NZ,80,405,0
YEG,DEN,UA,ZX,170,890,1
RSW,IAH,NW,CO,155,752,0
SJC,SEA,NW,AS,121,604,0
SZG,DUS,LH,VO,80,325,1
IAD,LAX,NZ,UA,345,1992,0
CPH,BRU,UA,SK,90,410,0
CPH,AAL,LH,SK,50,134,0
CPH,HAM,LH,SK,55,147,0
CPH,XFR,SK,9B,11,11,1
YVR,IAD,UA,AC,285,2040,1
SFO,IAD,AC,UA,301,2106,1
EWR,DCA,NW,CO,75,177,1
CLE,SFO,NW,CO,318,1875,1
FRA,VIE,OS,LH,80,335,0
CLE,FLL,NW,CO,173,935,0
EWR,YYZ,NW,CO,102,297,1
FRA,BIO,JK,LH,130,628,1
YVR,SEA,CO,QX,50,115,0
FLL,CLE,NW,CO,176,935,0
MSP,DBQ,KL,XJ,75,190,1
SFO,ORD,AC,UA,239,1605,0
FRA,NUE,JK,LH,45,100,0
MIA,EYW,NW,3M,50,113,0
EWR,DTW,NW,CO,110,427,1
MIA,CLE,NW,CO,172,948,0
SFO,LAS,NW,HP,84,360,0
PRG,AMS,KL,OK,90,382,0
JFK,LAX,BR,AA,366,2149,1
SDF,MEM,KL,9E,85,280,0
HUY,AMS,KL,UK,80,203,0
SEA,KTN,CO,AS,118,596,0
FCO,VBS,LH,EN,75,240,0
NUE,ZRH,SR,LX,60,155,1
YYZ,LHR,SK,AC,411,3091,1
LHR,MAD,AR,IB,135,678,1
IAH,CRP,HP,CO,70,176,1
OSL,EWR,LH,SK,505,3211,1
LGA,DTW,CA,NW,120,437,1
ORD,PIT,NH,UA,79,355,0
OSL,GOT,FI,SK,55,157,1
ORD,ICT,SK,UA,116,516,1
ORD,LAX,AC,UA,263,1517,1
GSO,IAD,AC,DH,70,208,1
LIH,HNL,NW,HA,28,89,0
OSL,FRA,UA,LH,135,622,1
ORD,MSY,LH,UA,139,735,1
PHX,SMF,CO,HP,121,568,0
LIH,HNL,NW,HA,28,89,1
PHX,SLC,BA,HP,92,446,0
BOI,DEN,AC,UA,106,566,0
BUF,EWR,NW,CO,95,246,0
BUF,EWR,BR,CO,95,246,0
LGA,DTW,CA,NW,130,437,1
OAX,MEX,MX,AM,65,199,1
ORD,RDU,AS,AA,115,562,0
ORD,PHX,IB,AA,231,1257,0
ORD,MEM,AC,UA,101,432,0
DBQ,MSP,CO,XJ,80,190,1
FLN,NVT,AA,JJ,25,43,0
DXB,CMB,EK,UL,255,1778,1
ORD,MKE,AS,MQ,41,60,1
OSL,LHR,BD,SK,145,657,1
ORD,TPA,SK,UA,151,889,0
ORD,SFO,AC,UA,274,1605,0
NRT,HNL,UA,NH,400,3314,0
PER,MEL,NZ,AN,215,1464,1
TUL,MEM,CO,9E,75,296,1
SVQ,GVA,SR,LX,150,763,1
ACT,IAH,NW,CO,60,142,0
NRT,CTS,AA,JL,90,428,1
SJC,SEA,NW,AS,122,604,0
HNL,IAH,NW,CS,450,3394,0
STN,AMS,KL,UK,65,175,0
MUC,VIE,UA,LH,70,192,0
SBP,LAX,AS,MQ,63,132,1
PHL,DTW,CA,NW,123,396,0
ATL,ORD,AM,DL,119,534,0
BUD,ZRH,MA,SR,95,429,1
PHL,DTW,CA,NW,107,396,1
HNL,LIH,AA,HA,34,89,0
LED,AMS,NW,KL,185,959,1
JNB,MTS,SA,4Z,60,167,1
GLA,LHR,VS,BD,80,298,1
GLA,LHR,LH,BD,80,298,1
BDL,ORD,AS,AA,151,683,1
GLA,LHR,LH,BD,90,298,0
ATL,DTW,CA,NW,119,521,1
PHL,ORD,NH,UA,142,589,0
MSN,ORD,SR,AA,44,93,0
GOA,MUC,LH,EN,100,263,1
MUC,SJJ,SK,LH,95,388,0
TGZ,MEX,MX,QA,80,382,0
PHL,DTW,KL,NW,110,396,1
HNL,OGG,CO,HA,35,91,0
HNL,OGG,CO,HA,35,91,1
JNB,PLZ,DL,SA,100,495,1
BDL,ORD,SK,UA,156,683,0
SKP,VIE,SK,OS,105,429,1
OAK,SEA,NW,AS,113,586,0
FAT,LAX,AS,MQ,76,181,0
MUC,STR,AC,LH,55,104,0
HNL,KOA,CO,HA,40,141,0
HNL,OGG,AA,HA,35,91,1
MUC,GRZ,LH,VO,65,170,1
JNB,GRJ,AF,SA,110,564,1
JNB,TNR,MD,UU,185,1155,0
BFS,LHR,UA,BD,75,284,1
KSC,VIE,OS,VO,60,188,0
MUC,FRA,NZ,LH,70,163,0
ATL,LEX,AM,DL,81,268,1
MUC,MAD,IB,DI,155,816,1
ATL,CLT,AM,DL,60,201,0
STN,BGO,SK,KF,125,540,0
MUC,FMO,UA,LH,75,277,1
ATL,CUN,AM,DL,160,774,1
JNB,PLZ,DL,SA,100,495,0
TNG,CMN,JK,FN,55,171,1
ATL,ORD,AM,DL,120,534,1
ATL,MBJ,DL,JM,155,981,0
MSN,MSP,KL,NW,69,199,1
FSD,MSP,CO,NW,57,172,1
ATL,EWR,AM,DL,142,656,0
MLS,GDV,NW,GQ,29,60,1
HNL,LIH,CO,HA,34,89,1
BFS,LHR,VS,BD,90,284,0
BUD,SJJ,MA,JA,85,216,1
BOD,MAD,IB,VM,70,295,0
MUC,HAM,UA,LH,80,331,0
MUC,CDG,CO,AF,100,365,1
DAB,ATL,AF,DL,88,317,0
ATL,PBI,AM,DL,96,471,1
HNL,OGG,AA,HA,35,91,1
RDU,ORD,JL,AA,127,562,0
BDL,IAD,LH,UA,84,285,1
ORD,CDG,DL,AF,480,3611,1
ORD,OMA,SR,AA,95,364,0
ORD,DEN,AC,UA,153,771,1
CHS,ATL,AF,DL,78,226,0
SCL,PMC,AA,LA,100,497,1
ORD,TPA,LH,UA,149,889,0
GSO,IAH,NW,CO,172,856,1
ORD,STL,AS,AA,70,223,1
LGA,MSP,KL,NW,190,885,1
ORD,MTY,UA,MX,210,1151,0
AUS,EWR,NW,CO,215,1310,1
OSL,EVE,KL,BU,100,524,1
ORD,EWR,NW,CO,115,625,0
MZT,TRC,MX,AM,65,212,0
ORD,PVD,AC,UA,128,734,0
SNA,DFW,SR,AA,174,1045,1
PHX,BUR,CO,HP,81,319,0
PHX,BUR,BA,HP,88,319,0
LGA,ORD,AS,AA,147,635,0
SZK,JNB,SA,YB,75,190,1
ORD,DTW,CA,NW,72,200,0
CHS,ATL,AF,DL,75,226,1
LGW,MLA,TW,KM,200,1128,0
ORD,DEN,AC,UA,154,771,1
ORD,LAX,LH,UA,265,1517,1
ORD,LAX,AS,AA,273,1517,1
ORD,DAY,AC,UA,68,213,1
OSL,BGO,LH,SK,55,175,1
OAX,HUX,MX,QA,40,76,0
ORD,AUS,SN,AA,169,858,1
ORD,TYS,AC,UA,88,415,1
AUS,IAH,NW,CO,55,120,1
BUF,CLE,NW,CO,62,166,1
QYU,QYX,SK,9B,45,52,0
CMB,DXB,EK,UL,270,1778,0
ORD,DSM,LH,UA,79,260,0
ORD,MKE,AS,MQ,44,60,0
ORD,BUF,AS,AA,96,408,0
BUF,DTW,CO,XJ,90,211,1
VCE,FCO,LH,AP,60,227,1
PHX,YYZ,UA,AC,241,1637,1
OSL,KEF,SK,FI,160,965,1
PHX,RNO,CO,HP,109,526,0
ORD,BMI,SN,AA,54,101,1
ORD,ROC,SK,UA,100,458,0
PHX,LAX,CO,HP,92,320,1
ORD,LAX,BR,AA,272,1517,0
DUR,ELS,SA,YB,80,264,1
ORD,PHX,AC,UA,228,1257,0
ORD,MSP,CO,NW,111,292,1
MTJ,IAH,NW,CO,145,809,0
ORD,SNA,AC,UA,264,1499,1
PHX,ONT,BA,HP,71,281,1
ORD,SNA,SR,AA,263,1499,1
ORD,CLE,SK,UA,79,271,1
RST,ORD,JL,AA,66,231,0
VCE,FCO,LH,AP,60,227,1
ORD,CLE,LH,UA,78,271,1
ORD,LAX,AS,AA,276,1517,1
OSL,LHR,QF,BA,150,657,0
BOI,SEA,CO,QX,80,343,0
JFK,WAW,AA,LO,520,3712,1
FCO,CDG,DL,AF,125,598,0
SEA,PDX,NW,AS,48,110,1
FCO,LHR,LH,BD,165,787,0
GOT,CPH,UA,SK,50,130,1
GSP,ATL,AM,DL,72,135,1
JFK,WAW,AA,LO,520,3712,1
SEA,LAX,LA,AS,150,831,1
SEA,RDM,CO,QX,66,198,0
SEA,SUN,NW,QX,110,412,0
SEA,PDX,NW,QX,50,110,1
FCO,VRN,AZ,IG,60,232,1
STR,LHR,LH,BD,105,412,0
SEA,BZN,KL,QX,90,471,1
IZT,MEX,MX,VW,105,284,0
JFK,SFO,OS,UA,384,2246,1
JFK,DCA,SN,AA,90,184,0
FCO,LIN,LH,AP,65,262,0
SEA,IAH,AS,CO,250,1635,1
PPT,AKL,QF,PH,370,2210,0
IZT,MEX,MX,VW,100,284,1
SVO,FRA,AC,LH,215,1094,1
CUL,GDL,DL,AM,70,348,1
HBA,MEL,SQ,AN,75,330,0
SEA,LAX,NW,AS,149,831,1
MKG,DTW,CO,XJ,65,135,1
SEA,EUG,KL,QX,70,202,1
NUE,FRA,AC,LH,50,100,1
CVG,MSP,KL,XJ,125,521,1
GOT,BLE,SK,JZ,65,190,1
BKK,SYD,LH,TG,550,4085,1
LAX,SEA,QF,AS,156,831,1
DCA,JFK,SR,AA,83,184,0
MEM,SFO,AZ,NW,274,1569,0
SBA,LAX,CO,AA,46,78,1
BRU,BCN,TV,SN,120,582,0
LAX,MEX,AC,MX,210,1359,0
LAX,DFW,AS,AA,188,1074,1
GRB,DTW,CO,NW,76,251,0
DCA,EWR,NW,CO,82,177,1
BRU,EDI,SR,SN,100,420,1
MEM,OKC,CO,NW,89,372,0
LAX,PSP,CO,AA,59,96,0
BRU,OSL,SR,SN,115,609,0
SAN,ORD,IB,AA,233,1496,0
SAN,LAX,CO,AA,50,93,0
SBA,LAX,AS,MQ,49,78,0
MME,LHR,LH,BD,70,190,1
DCA,CLE,NW,CO,77,277,0
MEM,ORD,KL,NW,100,432,0
MEX,MTY,DL,AM,80,394,0
GRB,MSP,KL,NW,77,216,1
MEX,ACA,DL,AM,50,164,1
MEM,JAN,CO,NW,60,165,1
AMS,STR,NW,EW,95,276,0
STL,YYZ,SK,AC,115,566,0
BRU,FRA,NZ,LH,75,165,0
FMO,FRA,UA,LH,65,129,1
LAX,LAS,QF,AA,68,209,1
LAX,IAD,LH,UA,289,1992,1
ORB,MMX,SK,JZ,75,235,0
VSA,MEX,DL,AM,85,364,0
LAX,SEA,NW,AS,155,831,1
LAX,MIA,BR,AA,292,2036,1
HNL,SYD,AA,QF,645,4438,1
ATL,CLT,AM,DL,60,201,1
FAT,LAX,AS,MQ,72,181,0
TKU,MHQ,SK,KF,35,76,0
JNB,DUR,AF,SA,70,269,1
BFS,LHR,QF,BA,75,284,0
PHL,CLE,NW,CO,84,319,0
MRS,BSL,LX,QE,105,276,0
ATL,MEM,CO,NW,76,289,1
MUC,CGN,TG,LH,70,239,0
ATL,CHS,AM,DL,60,226,0
ATL,MCI,AF,DL,131,605,1
MUC,ZAG,OU,CL,70,234,0
ATL,MEM,KL,NW,80,289,1
JNB,ELS,AF,SA,85,419,0
MUC,CGN,TG,LH,70,239,0
RDU,IAH,NW,CO,180,902,1
TSV,BNE,NZ,AN,105,604,1
JNB,DUR,AF,SA,70,269,1
MUC,TXL,BA,DI,70,265,0
JNB,GRU,RG,SA,610,4031,1
DEL,VIE,OS,NG,495,3002,0
MNL,NGO,KL,NW,215,1500,0
HNL,LIH,CO,HA,34,89,0
MUC,LEJ,AC,LH,65,194,1
BUD,ZRH,SR,MA,95,429,1
HNL,OGG,NW,HA,35,91,1
XFP,XFR,SK,9B,8,6,1
BUD,MXP,AZ,MA,100,444,1
JNB,TLV,SA,LY,545,3544,1
HNL,KOA,CO,HA,40,141,1
KRK,LGW,BA,LO,155,769,1
STN,AMS,NW,UK,60,175,0
JNB,RCB,SA,YB,90,262,1
ATL,BWI,AM,DL,98,507,1
MUC,BCN,JK,LH,125,588,1
HNL,LIH,CO,HA,34,89,1
STN,AMS,KL,UK,65,175,0
MUC,GRZ,LH,VO,60,170,0
HNL,OGG,NW,HA,35,91,1
GLA,LHR,BI,BD,80,298,0
MRS,TUN,AF,TU,100,460,1
PHL,IAH,HP,CO,211,1151,1
RDU,ORD,AS,AA,127,562,0
HNL,LAX,NW,CO,305,2222,0
MSN,ORD,SN,AA,44,93,1
PHL,MSP,CO,NW,180,853,0
ATL,GSO,AF,DL,81,269,0
JNB,WVB,SA,YB,145,764,0
HNL,LIH,CO,HA,34,89,1
PHL,CLE,NW,CO,87,319,0
MUC,VIE,UA,LH,65,192,0
MUC,VIE,LH,NG,55,192,0
JNB,PER,QF,SA,555,4493,1
ATL,EWR,NW,CO,142,656,0
MUC,CGN,BA,DI,70,239,0
PHL,DTW,CO,NW,110,396,0
GLA,DUB,BA,EI,60,159,0
