Origin,Destination,Marketing_Airline,Operating_Airline,Flight_Duration,Distance,Narrow_Set
YYZ,LHR,SK,AC,411,3091.0,1
OSL,EWR,LH,SK,505,3211.0,1
NRT,HNL,UA,NH,400,3314.0,0
HNL,IAH,NW,CS,450,3394.0,0
ORD,CDG,DL,AF,480,3611.0,1
JFK,WAW,AA,LO,520,3712.0,1
JFK,WAW,AA,LO,520,3712.0,1
BKK,SYD,LH,TG,550,4085.0,1
HNL,SYD,AA,QF,645,4438.0,1
JNB,GRU,RG,SA,610,4031.0,1
DEL,VIE,OS,NG,495,3002.0,0
JNB,TLV,SA,LY,545,3544.0,1
JNB,PER,QF,SA,555,4493.0,1
CHC,SIN,LH,NZ,645,4559.0,1
FCO,GMP,AZ,KE,665,4862.0,0
JFK,LHR,GF,AA,370,3002.0,1
FCO,MRU,MK,PE,585,4538.0,0
BKK,FRA,LH,TG,710,4873.0,0
AMS,MEM,NW,KL,595,3954.0,0
CHC,SIN,NZ,SQ,630,4559.0,1
BKK,CPH,TG,SK,710,4678.0,1
CDG,PVG,AF,MU,725,5012.0,1
CDG,IAD,DL,AF,535,3361.0,1
GMP,LAX,AA,OZ,650,5190.0,0
PVG,SFO,NW,CA,605,5346.0,1
PHL,FRA,UA,LH,470,3436.0,0
RAR,LAX,UA,NZ,570,4094.0,0
MUC,YYZ,SK,AC,560,3598.0,1
ATL,FRA,SK,LH,525,4017.0,0
PVG,CDG,AF,MU,770,5012.0,1
HNL,DTW,CO,NW,516,3887.0,0
DEL,AMS,KL,NW,595,3441.0,0
JNB,AMS,NW,KL,655,4905.0,0
HNL,KIX,AA,JL,565,3570.0,0
JNB,FRA,SK,LH,625,4728.0,0
HNL,AKL,AC,NZ,550,3859.0,1
LAX,GRU,NH,RG,700,5382.0,1
AMS,NBO,KL,KQ,510,3632.0,0
LAX,SYD,AN,UA,865,6536.0,1
LAX,APW,UA,NZ,625,4213.0,1
LAX,FRA,SK,LH,635,5046.0,0
BRU,ORD,SN,AA,580,3615.0,0
LAX,AKL,UA,NZ,765,5690.0,1
LAX,PEK,NW,CA,760,5423.0,0
YUL,FRA,SK,AC,435,3175.0,0
SEZ,CDG,AF,HM,625,4263.0,0
MRU,FCO,PE,MK,640,4538.0,1
YUL,FRA,LH,AC,435,3175.0,1
LAX,AKL,UA,NZ,765,5690.0,1
CUN,EZE,AR,MX,535,3753.0,0
LAX,LIM,AA,LA,515,3656.0,1
SEZ,FCO,RD,HM,550,3677.0,0
AMS,JRO,NW,KL,510,3758.0,0
LAX,MXP,NW,RD,685,5246.0,0
MAD,BOG,AV,IB,625,4347.0,1
BKK,FRA,LH,TG,710,4873.0,0
MAD,JFK,TW,UX,530,3118.0,1
CUN,EZE,MX,AR,505,3753.0,1
BKK,LHR,BA,QF,770,5188.0,1
LAX,NAN,AA,FJ,645,4816.0,1
LAX,AKL,BA,QF,760,5690.0,0
AMS,LAX,NW,KL,690,4850.0,0
LAX,FRA,SK,LH,635,5046.0,0
LAX,AKL,LH,NZ,765,5690.0,1
LAX,NRT,CO,NW,720,4728.0,1
LAX,MEL,NZ,UA,910,6912.0,1
AMS,JFK,NW,KL,495,3173.0,1
LAX,PPT,QF,TN,515,3601.0,0
MAD,GIG,RG,PU,640,4431.0,1
AMS,JFK,NW,KL,490,3173.0,0
BKK,JNB,TG,SA,655,4880.0,0
LAX,MEL,AN,UA,910,6912.0,1
MRU,CDG,MK,AF,700,5134.0,0
AMS,DEL,NW,KL,465,3441.0,1
AMS,DEL,NW,KL,475,3441.0,1
LAX,AMS,NW,KL,625,4850.0,0
AMS,ORD,NW,KL,530,3582.0,0
LAX,DUB,AA,EI,615,4503.0,1
AMS,IAD,KL,NW,530,3366.0,0
AMS,IAD,SK,UA,515,3366.0,0
MRU,VIE,OS,MK,660,4709.0,1
LAX,NRT,NH,UA,700,4728.0,1
CUN,EZE,AR,MX,535,3753.0,0
BKK,MEL,LH,TG,550,3987.0,0
MAD,HAV,SK,JK,600,4037.0,1
BRU,ORD,AA,SN,560,3615.0,1
BKK,JNB,TG,SA,655,4880.0,1
GMP,SEA,AA,OZ,585,4518.0,0
AMS,IAH,NW,KL,630,4361.0,0
MEX,FRA,SK,LH,640,5176.0,0
AMS,JFK,TW,RJ,505,3173.0,1
AMS,DTW,KL,NW,525,3432.0,1
LAX,CDG,DL,AF,630,4930.0,0
CNS,NRT,JL,QF,440,3207.0,1
LAX,CAN,DL,CZ,880,6274.0,1
LAX,FRA,NZ,LH,670,5046.0,1
