origin,year,month,day,hour,temp,dewp,time_hour
JAF,2012,7,28,3,26.96,15.08,2013-01-03T08:00:00Z
JAF,2012,9,20,4,26.06,15.08,2013-01-03T09:00:00Z
JAF,2012,1,22,5,26.06,15.08,2013-01-03T10:00:00Z
JAF,2012,12,16,6,26.06,15.98,2013-01-03T11:00:00Z
JAF,2012,7,25,7,26.06,15.98,2013-01-03T12:00:00Z
JAF,2012,7,28,8,26.96,17.06,2013-01-03T13:00:00Z
JAF,2012,10,26,9,28.04,17.06,2013-01-03T14:00:00Z
JAF,2012,6,3,10,30.92,15.08,2013-01-03T15:00:00Z
JAF,2012,2,20,11,30.92,14,2013-01-03T16:00:00Z
JAF,2012,2,29,12,33.08,12.92,2013-01-03T17:00:00Z
JAF,2012,8,8,13,33.98,12.92,2013-01-03T18:00:00Z
JAF,2012,8,18,14,33.98,12.92,2013-01-03T19:00:00Z
JAF,2012,4,2,15,33.08,14,2013-01-03T20:00:00Z
JAF,2012,11,19,16,32,14,2013-01-03T21:00:00Z
JAF,2012,5,20,17,30.02,15.08,2013-01-03T22:00:00Z
JAF,2012,1,18,18,30.92,15.08,2013-01-03T23:00:00Z
JAF,2012,3,12,19,30.92,15.08,2013-01-04T00:00:00Z
JAF,2012,12,15,20,30.92,15.08,2013-01-04T01:00:00Z
EWR,2013,4,4,21,30.92,15.98,2013-01-04T02:00:00Z
EWR,2013,12,20,22,28.94,17.06,2013-01-04T03:00:00Z
EWR,2013,8,2,23,30.02,17.96,2013-01-04T04:00:00Z
EWR,2013,8,17,0,30.02,17.96,2013-01-04T05:00:00Z
EWR,2013,10,26,1,28.94,17.96,2013-01-04T06:00:00Z
EWR,2013,12,23,2,30.02,19.04,2013-01-04T07:00:00Z
EWR,2013,1,6,3,28.94,19.04,2013-01-04T08:00:00Z
EWR,2013,4,5,4,28.94,19.94,2013-01-04T09:00:00Z
EWR,2013,4,1,5,30.92,21.02,2013-01-04T10:00:00Z
EWR,2013,4,2,6,33.08,21.02,2013-01-04T11:00:00Z
EWR,2013,11,29,7,33.98,21.92,2013-01-04T12:00:00Z
EWR,2013,3,4,8,35.06,21.92,2013-01-04T13:00:00Z
EWR,2013,9,11,9,35.96,21.02,2013-01-04T14:00:00Z
EWR,2013,5,16,10,37.04,19.04,2013-01-04T15:00:00Z
EWR,2013,5,7,11,37.04,19.04,2013-01-04T16:00:00Z
EWR,2013,10,29,12,39.92,19.94,2013-01-04T17:00:00Z
