YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,7,18,6,DL,1462,N302NB,PIT,ATL,1755,1816.0,21.0,7.0,1823.0,107.0,88.0,74.0,526,1937.0,7.0,1942,1944.0,2.0,0,0,,,,,,
2015,1,12,1,DL,1208,N3733Z,PDX,SLC,1330,1325.0,-5.0,10.0,1335.0,103.0,102.0,84.0,630,1559.0,8.0,1613,1607.0,-6.0,0,0,,,,,,
2015,12,18,5,AS,756,N492AS,SEA,CHS,825,824.0,-1.0,28.0,852.0,329.0,295.0,260.0,2415,1612.0,7.0,1654,1619.0,-35.0,0,0,,,,,,
2015,12,12,6,WN,663,N703SW,MDW,LGA,1320,1326.0,6.0,12.0,1338.0,125.0,109.0,92.0,725,1610.0,5.0,1625,1615.0,-10.0,0,0,,,,,,
2015,8,23,7,MQ,3649,N513MQ,BNA,LGA,1805,1802.0,-3.0,10.0,1812.0,131.0,123.0,108.0,764,2100.0,5.0,2116,2105.0,-11.0,0,0,,,,,,
2015,11,14,6,DL,1150,N542US,HNL,LAX,755,753.0,-2.0,20.0,813.0,327.0,317.0,288.0,2556,1501.0,9.0,1522,1510.0,-12.0,0,0,,,,,,
2015,12,28,1,MQ,3240,N838MQ,PIA,ORD,1451,,,,,68.0,,,130,,,1559,,,0,1,B,,,,,
2015,5,24,7,OO,4780,N630SK,SEA,GEG,1830,1826.0,-4.0,16.0,1842.0,64.0,59.0,39.0,224,1921.0,4.0,1934,1925.0,-9.0,0,0,,,,,,
2015,7,29,3,UA,1614,N27908,IAH,SFO,720,735.0,15.0,19.0,754.0,234.0,220.0,194.0,1635,908.0,7.0,914,915.0,1.0,0,0,,,,,,
2015,5,27,3,EV,4177,N14991,IAH,BTR,1735,,,,,65.0,,,253,,,1840,,,0,1,C,,,,,
2015,10,27,2,AA,2245,N3JVAA,13303,14679,1945,1938.0,-7.0,11.0,1949.0,321.0,308.0,294.0,2267,2143.0,3.0,2206,2146.0,-20.0,0,0,,,,,,
2015,5,11,1,US,695,N154UW,CLT,PHX,1435,1436.0,1.0,14.0,1450.0,268.0,262.0,244.0,1773,1554.0,4.0,1603,1558.0,-5.0,0,0,,,,,,
2015,2,19,4,WN,250,N557WN,SNA,DEN,900,911.0,11.0,7.0,918.0,140.0,120.0,102.0,846,1200.0,11.0,1220,1211.0,-9.0,0,0,,,,,,
2015,8,22,6,DL,917,N329NW,LAS,DTW,1200,1156.0,-4.0,12.0,1208.0,242.0,236.0,215.0,1749,1843.0,9.0,1902,1852.0,-10.0,0,0,,,,,,
2015,1,28,3,WN,2233,N523SW,DAL,SAT,1645,1643.0,-2.0,9.0,1652.0,65.0,58.0,45.0,248,1737.0,4.0,1750,1741.0,-9.0,0,0,,,,,,
2015,10,18,7,OO,4474,N8965E,14869,10849,940,936.0,-4.0,20.0,956.0,84.0,80.0,56.0,347,1052.0,4.0,1104,1056.0,-8.0,0,0,,,,,,
2015,7,9,4,OO,6524,N718SK,GRR,DEN,1712,,,,,173.0,,,1015,,,1805,,,0,1,C,,,,,
2015,12,30,3,AS,364,N409AS,SEA,OAK,1010,1039.0,29.0,15.0,1054.0,123.0,111.0,92.0,672,1226.0,4.0,1213,1230.0,17.0,0,0,,0.0,0.0,0.0,17.0,0.0
2015,9,28,1,DL,880,N946DN,ATL,BWI,2040,2045.0,5.0,20.0,2105.0,116.0,112.0,84.0,577,2229.0,8.0,2236,2237.0,1.0,0,0,,,,,,
2015,8,3,1,WN,2232,N552WN,BWI,PVD,605,559.0,-6.0,13.0,612.0,75.0,71.0,50.0,327,702.0,8.0,720,710.0,-10.0,0,0,,,,,,
2015,6,12,5,AS,486,N593AS,SEA,SAN,1425,1425.0,0.0,14.0,1439.0,157.0,158.0,141.0,1050,1700.0,3.0,1702,1703.0,1.0,0,0,,,,,,
2015,12,12,6,UA,708,N76519,LAX,SFO,933,931.0,-2.0,14.0,945.0,102.0,93.0,61.0,337,1046.0,18.0,1115,1104.0,-11.0,0,0,,,,,,
2015,6,26,5,WN,1440,N395SW,STL,SAT,955,1016.0,21.0,14.0,1030.0,125.0,124.0,106.0,786,1216.0,4.0,1200,1220.0,20.0,0,0,,0.0,0.0,14.0,6.0,0.0
2015,7,13,1,WN,322,N631SW,FLL,RDU,1700,1657.0,-3.0,15.0,1712.0,125.0,136.0,116.0,680,1908.0,5.0,1905,1913.0,8.0,0,0,,,,,,
2015,5,17,7,DL,1478,N633DL,ATL,PHL,725,725.0,0.0,19.0,744.0,120.0,112.0,90.0,666,914.0,3.0,925,917.0,-8.0,0,0,,,,,,
2015,6,5,5,EV,4432,N13913,IAH,BTR,1015,1014.0,-1.0,12.0,1026.0,67.0,59.0,42.0,253,1108.0,5.0,1122,1113.0,-9.0,0,0,,,,,,
2015,10,21,3,MQ,3102,N600MQ,14524,13930,1821,1816.0,-5.0,12.0,1828.0,148.0,120.0,100.0,642,1908.0,8.0,1949,1916.0,-33.0,0,0,,,,,,
2015,4,18,6,B6,1031,N368JB,BOS,HOU,719,713.0,-6.0,22.0,735.0,271.0,254.0,230.0,1609,1025.0,2.0,1050,1027.0,-23.0,0,0,,,,,,
2015,10,1,4,DL,462,N391DA,12478,14843,900,858.0,-2.0,45.0,943.0,233.0,240.0,191.0,1598,1254.0,4.0,1253,1258.0,5.0,0,0,,,,,,
2015,2,17,2,VX,950,N530VA,SFO,SAN,720,712.0,-8.0,15.0,727.0,85.0,94.0,72.0,447,839.0,7.0,845,846.0,1.0,0,0,,,,,,
2015,11,11,3,WN,2697,N357SW,SAN,OAK,725,,,,,90.0,,,446,,,855,,,0,1,A,,,,,
2015,8,28,5,EV,3266,N13124,ORD,MSN,1047,1046.0,-1.0,19.0,1105.0,54.0,53.0,27.0,108,1132.0,7.0,1141,1139.0,-2.0,0,0,,,,,,
2015,6,1,1,OO,7407,N8932C,SLC,TWF,2200,2151.0,-9.0,10.0,2201.0,47.0,42.0,28.0,175,2229.0,4.0,2247,2233.0,-14.0,0,0,,,,,,
2015,12,13,7,AS,316,N306AS,SEA,SFO,1340,1328.0,-12.0,22.0,1350.0,130.0,136.0,103.0,679,1533.0,11.0,1550,1544.0,-6.0,0,0,,,,,,
2015,10,13,2,WN,281,N7816B,14843,13204,600,557.0,-3.0,13.0,610.0,180.0,182.0,163.0,1189,853.0,6.0,900,859.0,-1.0,0,0,,,,,,
2015,8,20,4,OO,5378,N908SW,ORD,PAH,2115,2122.0,7.0,15.0,2137.0,75.0,73.0,53.0,342,2230.0,5.0,2230,2235.0,5.0,0,0,,,,,,
2015,12,23,3,UA,761,N38446,ORD,SFO,751,757.0,6.0,26.0,823.0,303.0,297.0,263.0,1846,1046.0,8.0,1054,1054.0,0.0,0,0,,,,,,
2015,1,27,2,B6,135,N618JB,JFK,PHX,1859,,,,,347.0,,,2153,,,2246,,,0,1,B,,,,,
2015,8,1,6,EV,4621,N14198,IAH,JAN,1015,1015.0,0.0,20.0,1035.0,83.0,77.0,52.0,351,1127.0,5.0,1138,1132.0,-6.0,0,0,,,,,,
2015,9,11,5,EV,5116,N759EV,LGA,CLE,1749,1745.0,-4.0,28.0,1813.0,113.0,105.0,73.0,419,1926.0,4.0,1942,1930.0,-12.0,0,0,,,,,,
2015,10,18,7,WN,968,N607SW,10397,11697,1600,1742.0,102.0,9.0,1751.0,110.0,101.0,84.0,581,1915.0,8.0,1750,1923.0,93.0,0,0,,0.0,0.0,93.0,0.0,0.0
