order_date,market,region,product_category,product,cost,inventory,net_profit,sales
6/1/2021,Wholesale,Central,Coffee,Amaretto,97,777,74,879
6/1/2021,Wholesale,Central,Coffee,Columbian,98,688,69,791
6/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,78,988,818,793
6/1/2021,Wholesale,Central,Tea,Green Tea,44,688,81,811
6/1/2021,Wholesale,Central,Espresso,Caffe Mocha,73,486,73,793
6/1/2021,Wholesale,Central,Espresso,Decaf Espresso,78,889,88,891
6/1/2021,Wholesale,Central,Herbal tea,Chamomile,791,8178,77,738
6/1/2021,Wholesale,Central,Herbal tea,Lemon,68,488,1,881
6/1/2021,Wholesale,Central,Herbal tea,Mint,61,886,88,731
6/1/2021,Wholesale,Central,Tea,Darjeeling,89,889,79,881
6/1/2021,Wholesale,Central,Tea,Earl Grey,64,768,86,731
6/1/2021,Wholesale,Central,Coffee,Columbian,734,968,888,738
6/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,78,619,97,793
6/1/2021,Wholesale,Central,Espresso,Caffe Mocha,793,8881,818,736
6/1/2021,Wholesale,Central,Espresso,Decaf Espresso,889,7379,731,486
6/1/2021,Wholesale,Central,Herbal tea,Chamomile,97,777,78,879
6/1/2021,Wholesale,Central,Herbal tea,Lemon,98,688,69,791
6/1/2021,Wholesale,Central,Herbal tea,Mint,78,988,818,793
6/1/2021,Wholesale,Central,Tea,Darjeeling,73,486,88,793
6/1/2021,Wholesale,Central,Tea,Earl Grey,78,889,73,891
6/1/2021,Retail,Central,Coffee,Amaretto,89,988,88,48
6/1/2021,Retail,Central,Coffee,Columbian,89,768,8,68
6/1/2021,Retail,Central,Coffee,Decaf Irish Cream,88,688,88,73
6/1/2021,Retail,Central,Espresso,Caffe Mocha,79,777,88,48
6/1/2021,Retail,Central,Espresso,Decaf Espresso,79,777,81,48
6/1/2021,Retail,Central,Herbal tea,Chamomile,793,8881,818,736
6/1/2021,Retail,Central,Herbal tea,Lemon,78,619,96,793
6/1/2021,Retail,Central,Tea,Darjeeling,889,7379,738,486
6/1/2021,Retail,Central,Tea,Earl Grey,738,7379,798,736
6/1/2021,Retail,Central,Coffee,Columbian,98,474,79,791
6/1/2021,Retail,Central,Coffee,Decaf Irish Cream,79,768,47,791
6/1/2021,Retail,Central,Tea,Green Tea,73,797,-4,76
6/1/2021,Retail,Central,Espresso,Caffe Mocha,81,988,49,888
6/1/2021,Retail,Central,Espresso,Decaf Espresso,46,777,48,793
6/1/2021,Retail,Central,Herbal tea,Chamomile,79,868,-88,71
6/1/2021,Retail,Central,Herbal tea,Lemon,99,888,-79,77
6/1/2021,Retail,Central,Tea,Darjeeling,88,796,7,98
6/1/2021,Retail,Central,Tea,Earl Grey,79,867,-7,68
6/1/2021,Wholesale,Central,Coffee,Amaretto,61,886,73,731
6/1/2021,Wholesale,Central,Coffee,Columbian,79,864,48,731
6/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,68,488,1,881
6/1/2021,Wholesale,Central,Tea,Earl Grey,94,811,67,811
6/1/2021,Wholesale,Central,Espresso,Decaf Espresso,89,889,86,881
6/1/2021,Wholesale,Central,Espresso,Caffe Mocha,791,8178,77,738
6/1/2021,Wholesale,Central,Herbal tea,Chamomile,88,486,79,91
6/1/2021,Wholesale,Central,Herbal tea,Lemon,88,988,79,91
6/1/2021,Wholesale,Central,Tea,Darjeeling,94,688,69,881
6/1/2021,Retail,Central,Coffee,Amaretto,73,888,88,881
6/1/2021,Retail,Central,Coffee,Columbian,77,888,7,791
6/1/2021,Retail,Central,Coffee,Decaf Irish Cream,77,488,88,891
6/1/2021,Retail,Central,Tea,Earl Grey,78,888,7,891
6/1/2021,Retail,Central,Espresso,Decaf Espresso,49,688,73,881
6/1/2021,Retail,Central,Espresso,Caffe Mocha,67,768,89,881
6/1/2021,Retail,Central,Herbal tea,Chamomile,67,411,71,891
6/1/2021,Retail,Central,Herbal tea,Lemon,88,777,89,98
6/1/2021,Retail,Central,Tea,Darjeeling,68,791,47,881
6/1/2021,Retail,East,Tea,Darjeeling,81,988,47,888
6/1/2021,Retail,East,Tea,Green Tea,89,777,88,74
6/1/2021,Retail,East,Espresso,Decaf Espresso,88,888,81,881
6/1/2021,Retail,East,Espresso,Caffe Mocha,78,888,7,891
6/1/2021,Retail,East,Coffee,Columbian,793,768,888,881
