order_date,market,region,product_category,product,estimated_cost,estimated_gross_profit,estimated_net_profit,estimated_sales,cost,inventory,gross_profit,net_profit,sales
6/1/2021,Wholesale,Central,Coffee,Amaretto,90,730,550,755,79,777,730,97,679
6/1/2021,Wholesale,Central,Coffee,Columbian,55,755,55,790,73,673,557,67,790
6/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,550,755,755,755,95,677,739,557,737
6/1/2021,Wholesale,Central,Tea,Green Tea,30,50,30,55,67,673,56,30,550
6/1/2021,Wholesale,Central,Espresso,Caffe Mocha,98,90,70,750,57,756,55,57,737
6/1/2021,Wholesale,Central,Espresso,Decaf Espresso,55,730,55,755,77,557,557,53,755
6/1/2021,Wholesale,Central,Herbal tea,Chamomile,755,798,755,300,770,5597,777,99,367
6/1/2021,Wholesale,Central,Herbal tea,Lemon,50,55,55,730,63,735,77,0,750
6/1/2021,Wholesale,Central,Herbal tea,Mint,50,70,55,755,98,336,55,33,755
6/1/2021,Wholesale,Central,Tea,Darjeeling,55,70,55,755,57,337,77,77,730
6/1/2021,Wholesale,Central,Tea,Earl Grey,50,70,55,755,67,965,76,36,755
6/1/2021,Wholesale,Central,Coffee,Columbian,750,755,730,398,677,767,557,677,375
6/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,550,755,550,755,95,987,739,77,737
6/1/2021,Wholesale,Central,Espresso,Caffe Mocha,770,370,798,655,737,987,367,553,576
6/1/2021,Wholesale,Central,Espresso,Decaf Espresso,798,770,755,530,677,987,677,755,756
6/1/2021,Wholesale,Central,Herbal tea,Chamomile,70,755,550,790,79,987,730,95,679
6/1/2021,Wholesale,Central,Herbal tea,Lemon,70,90,98,798,73,673,557,67,790
6/1/2021,Wholesale,Central,Herbal tea,Mint,55,755,550,550,95,677,739,557,737
6/1/2021,Wholesale,Central,Tea,Darjeeling,55,70,50,755,57,756,55,53,737
6/1/2021,Wholesale,Central,Tea,Earl Grey,98,90,55,750,77,557,557,57,755
6/1/2021,Retail,Central,Coffee,Amaretto,55,30,55,55,67,677,77,67,75
6/1/2021,Retail,Central,Coffee,Columbian,55,55,55,98,67,965,37,5,67
6/1/2021,Retail,Central,Coffee,Decaf Irish Cream,55,30,55,50,73,673,37,67,57
6/1/2021,Retail,Central,Espresso,Caffe Mocha,55,55,30,50,77,777,76,67,73
6/1/2021,Retail,Central,Espresso,Decaf Espresso,55,55,30,50,77,777,76,55,73
6/1/2021,Retail,Central,Herbal tea,Chamomile,550,755,550,755,737,7355,367,557,576
6/1/2021,Retail,Central,Herbal tea,Lemon,55,755,90,550,95,987,739,76,737
6/1/2021,Retail,Central,Tea,Darjeeling,790,755,755,550,677,6759,677,677,756
6/1/2021,Retail,Central,Tea,Earl Grey,755,770,798,755,675,6779,307,775,576
6/1/2021,Retail,Central,Coffee,Columbian,90,550,55,790,75,797,555,39,790
6/1/2021,Retail,Central,Coffee,Decaf Irish Cream,55,90,50,770,77,965,97,77,770
6/1/2021,Retail,Central,Tea,Green Tea,55,55,0,98,37,797,67,-7,76
6/1/2021,Retail,Central,Espresso,Caffe Mocha,50,90,70,755,50,677,73,67,673
6/1/2021,Retail,Central,Espresso,Decaf Espresso,50,55,98,730,76,777,67,75,677
6/1/2021,Retail,Central,Herbal tea,Chamomile,30,55,0,70,37,767,53,-67,90
6/1/2021,Retail,Central,Herbal tea,Lemon,70,55,-55,55,67,575,67,-39,99
6/1/2021,Retail,Central,Tea,Darjeeling,30,55,55,70,35,796,77,9,67
6/1/2021,Retail,Central,Tea,Earl Grey,55,30,-55,50,79,769,36,-9,65
6/1/2021,Wholesale,Central,Coffee,Amaretto,98,55,50,755,98,336,55,37,755
6/1/2021,Wholesale,Central,Coffee,Columbian,98,55,50,755,57,367,73,67,755
6/1/2021,Wholesale,Central,Coffee,Decaf Irish Cream,98,90,55,750,63,735,77,0,750
6/1/2021,Wholesale,Central,Tea,Earl Grey,70,550,98,770,67,500,676,67,550
6/1/2021,Wholesale,Central,Espresso,Decaf Espresso,98,90,55,750,57,337,77,76,730
6/1/2021,Wholesale,Central,Espresso,Caffe Mocha,790,755,755,550,770,5597,777,99,367
6/1/2021,Wholesale,Central,Herbal tea,Chamomile,55,50,50,70,37,756,67,79,55
6/1/2021,Wholesale,Central,Herbal tea,Lemon,55,50,50,70,37,677,67,79,55
6/1/2021,Wholesale,Central,Tea,Darjeeling,70,755,98,755,67,657,676,67,755
6/1/2021,Retail,Central,Coffee,Amaretto,50,70,30,755,57,367,66,73,755
6/1/2021,Retail,Central,Coffee,Columbian,55,755,55,790,79,557,677,9,790
6/1/2021,Retail,Central,Coffee,Decaf Irish Cream,55,550,98,755,77,737,553,57,755
6/1/2021,Retail,Central,Tea,Earl Grey,98,90,55,750,75,567,555,7,755
6/1/2021,Retail,Central,Espresso,Decaf Espresso,50,70,50,755,67,673,67,37,755
6/1/2021,Retail,Central,Espresso,Caffe Mocha,55,90,50,770,69,965,67,37,750
6/1/2021,Retail,Central,Herbal tea,Chamomile,50,550,55,750,67,550,673,70,755
6/1/2021,Retail,Central,Herbal tea,Lemon,55,50,50,70,33,777,67,67,67
6/1/2021,Retail,Central,Tea,Darjeeling,50,55,50,730,67,390,79,77,750
6/1/2021,Retail,East,Tea,Darjeeling,50,55,98,730,50,677,73,77,673
6/1/2021,Retail,East,Tea,Green Tea,55,98,55,550,37,777,56,35,97
6/1/2021,Retail,East,Espresso,Decaf Espresso,50,70,55,755,55,367,75,30,730
6/1/2021,Retail,East,Espresso,Caffe Mocha,70,550,55,770,75,567,555,7,755
6/1/2021,Retail,East,Coffee,Columbian,755,755,730,790,677,967,676,675,355
6/1/2021,Retail,East,Herbal tea,Lemon,98,55,55,755,75,797,555,55,790
6/1/2021,Retail,East,Herbal tea,Mint,50,55,50,730,77,965,97,77,770
6/1/2021,Wholesale,East,Tea,Darjeeling,30,50,55,55,37,677,67,67,55
6/1/2021,Wholesale,East,Tea,Green Tea,30,50,55,55,33,777,67,67,67
6/1/2021,Wholesale,East,Espresso,Decaf Espresso,70,550,98,770,77,737,553,50,755
6/1/2021,Wholesale,East,Espresso,Caffe Mocha,70,755,30,755,79,557,677,9,790
6/1/2021,Wholesale,East,Coffee,Decaf Irish Cream,55,755,70,790,67,500,676,67,550
