Marketing Airline,Flight Duration (mins)
AR,506.6666667
BD,115
CP,79
LR,205
LT,50
OS,105
OS,603
LR,780
AR,513
BD,782
OS,476
CP,678
AR,470
BD,713
OS,781
BD,781
LT,721
OS,827
LT,512
CP,667
BD,625
CP,814
BD,625
OS,469
CP,849
LT,730
LT,859
CP,819
LT,836
BD,594
LT,899
OS,896
LR,784
CP,894
AR,669
AR,731
OS,849
BD,591
BD,621
AR,889
AR,802
OS,843
OS,765
CP,456
LT,597
BD,658
OS,684
BD,600
AR,753
LR,751
LT,577
CP,802
LT,738
BD,562
LT,784
CP,547
BD,615
BD,872
BD,732
CP,588
CP,713
OS,603
LR,864
BD,448
AR,693
BD,769
LR,762
AR,611
AR,826
OS,648
BD,893
CP,877
OS,736
BD,726
LR,557
BD,760
BD,617
OS,732
OS,730
CP,504
LR,454
BD,660
CP,584
LT,766
LR,472
BD,785
OS,579
BD,503
OS,663
BD,809
OS,457
LR,883
CP,482
LT,808
AR,660
AR,447
LT,782
LR,864
AR,780
AR,511
BD,728
AR,825
CP,573
CP,892
AR,672
CP,499
CP,722
LT,802
AR,836
BD,829
LR,515
LR,651
OS,707
OS,613
BD,522
CP,712
CP,835
AR,863
AR,467
OS,647
LR,623
AR,852
LT,497
LR,795
CP,696
CP,850
BD,763
LR,616
CP,492
LR,684
AR,552
BD,639
OS,714
OS,656
BD,788
AR,544
OS,456
LR,771
LR,470
CP,478
CP,870
OS,646
BD,488
BD,593
LT,556
OS,531
LR,603
CP,808
CP,745
OS,771
CP,535
CP,545
OS,806
CP,797
LT,708
AR,785
AR,853
OS,625
CP,889
LT,774
CP,830
AR,776
AR,700
LR,876
CP,583
LR,773
BD,692
LR,864
AR,720
LR,574
OS,535
LR,773
LR,453
BD,674
AR,461
BD,495
BD,673
OS,643
LT,600
AR,452
LT,782
OS,728
CP,809
CP,579
LR,480
LT,585
BD,559
CP,652
BD,824
OS,798
OS,525
LR,579
LR,448
LT,599
BD,596
AR,662
LT,731
LT,508
LT,726
CP,596
OS,574
BD,649
AR,833
CP,516
LR,454
OS,755
OS,887
AR,605
LT,720
CP,474
BD,536
LT,463
OS,717
LT,523
BD,477
CP,870
AR,779
AR,680
CP,854
LR,516
CP,869
CP,623
LT,619
LR,900
LT,526
AR,879
AR,465
AR,850
AR,845
LT,604
BD,602
CP,878
BD,623
BD,675
BD,602
AR,793
LR,657
LT,630
LT,491
BD,522
LT,603
LR,663
AR,703
BD,709
AR,729
AR,772
LT,887
OS,481
AR,799
LR,881
BD,703
CP,745
LR,882
AR,866
BD,631
AR,464
BD,454
BD,534
AR,682
BD,732
OS,762
LR,621
LR,635
OS,564
LR,790
AR,728
LR,575
LR,753
AR,623
CP,467
BD,649
BD,503
LT,659
LR,672
LR,769
LT,893
CP,776
OS,512
OS,459
LT,834
AR,890
OS,690
LR,789
AR,813
CP,767
BD,553
LR,716
OS,479
LT,613
BD,607
BD,565
CP,484
OS,653
AR,579
LR,609
LR,513
BD,493
LT,741
LT,761
LR,832
LT,582
LR,714
OS,459
CP,483
LT,774
CP,900
OS,592
CP,617
OS,473
LT,607
AR,883
LR,659
CP,757
OS,517
OS,612
CP,842
LR,783
BD,704
LT,868
LR,633
LT,825
AR,897
LR,454
BD,493
BD,761
BD,531
AR,653
LT,621
AR,734
CP,784
CP,597
LT,783
AR,895
CP,480
OS,721
BD,461
AR,607
CP,731
LT,833
OS,665
LT,567
LR,714
BD,622
CP,572
OS,528
BD,455
BD,532
LR,611
CP,773
CP,553
AR,745
LR,564
LT,763
LR,885
BD,511
CP,792
LR,649
BD,780
LT,541
OS,458
BD,710
CP,446
LT,799
OS,618
LT,775
CP,507
LT,650
LT,564
AR,893
BD,653
AR,630
CP,588
LR,827
AR,837
BD,473
CP,790
LT,507
CP,875
LR,847
LR,736
LT,892
AR,668
CP,786
OS,891
LR,762
CP,890
BD,816
BD,685
LT,843
BD,618
CP,817
LT,686
OS,770
BD,856
AR,496
BD,524
OS,877
AR,812
LT,557
AR,705
AR,481
BD,681
AR,654
CP,575
CP,851
CP,877
OS,748
LR,842
LT,810
OS,718
BD,509
LR,577
LT,710
BD,636
LT,559
LR,587
AR,678
LR,455
CP,565
LT,507
AR,738
AR,527
BD,682
OS,765
AR,779
AR,494
