product_category,customer_age,region,sales_rep,quarter,sales_amount,profit_margin,units_sold,discount_rate,customer_satisfaction,sale_date,profit_amount,month
Home,29,North,Diana,Q4,317.2535564662336,0.2976559085425385,10,0.10742159359984516,3.9969375110168386,2023-02-26,94.4323955883083,2023-02
Sports,61,West,Charlie,Q2,226.51733327760093,0.1985736587834242,8,0.19944170788962293,1.0845221645398866,2023-12-08,44.980375646797505,2023-12
Books,53,East,Charlie,Q3,241.27427343722482,0.2227322766937708,8,0.20217201101823465,5.0,2023-01-18,53.73956823030847,2023-01
Sports,65,North,Alice,Q4,281.1225780662375,0.23484223084439343,6,0.14276683698949477,5.0,2023-09-29,66.01945337380236,2023-09
Sports,21,South,Diana,Q1,172.39727247722215,0.15059555089888962,7,0.026701772585286512,4.176323445265659,2023-05-10,25.96226222217325,2023-05
Clothing,22,West,Eve,Q4,40.744099503811775,0.3347227007977869,3,0.25455075547041206,2.1637093298772316,2023-09-26,13.637975027489645,2023-09
Books,73,North,Eve,Q3,250.3817663911773,0.36395146868963507,7,0.19300486688495824,3.819080227662126,2023-03-21,91.12681161117409,2023-03
Books,54,East,Bob,Q1,95.07421024645494,0.3548539565108635,3,0.2684003003587033,4.7897391653352175,2023-10-26,33.737459668100215,2023-10
Books,25,North,Bob,Q1,46.42853000841243,0.30035996390148195,3,0.2845859344954134,4.042422445901511,2023-11-06,13.945271597325629,2023-11
Sports,59,East,Eve,Q2,308.68976593808827,0.26058969697598744,11,0.17714129264284856,4.050032231547487,2023-07-21,80.44137256539491,2023-07
Home,66,South,Eve,Q1,266.32552770100347,0.2120494312086931,7,0.22585677283022312,1.745070539290146,2023-08-13,56.47417666535282,2023-08
Books,45,West,Diana,Q1,114.39673277230374,0.34168812583248864,5,0.08261989529378796,2.210988999184232,2023-06-08,39.0880052223285,2023-06
Sports,48,West,Charlie,Q4,169.61572809620014,0.11438817424033366,3,0.1993771428239274,1.9168106334508643,2023-07-23,19.4020334593692,2023-07
Clothing,26,West,Bob,Q3,101.69391429228868,0.21884111173140622,4,0.25098513817389356,5.0,2023-05-17,22.254809260042794,2023-05
Home,71,South,Charlie,Q2,351.9718700413365,0.15901234979964662,10,0.15887524282497717,3.9833774464631957,2023-03-14,55.96787411864876,2023-03
Clothing,68,East,Diana,Q4,225.6737935144676,0.38879100372707265,9,0.12234960851564991,4.9568239309892395,2023-02-17,87.739940695386,2023-02
Home,46,South,Eve,Q1,243.96457487314066,0.19180339812423056,11,0.1472403263301924,1.7187810651482058,2023-01-18,46.793234482601655,2023-01
Sports,31,West,Charlie,Q1,152.84495276816813,0.12912089316481806,7,0.19545199638369487,4.75164207946441,2023-09-24,19.7354768171603,2023-09
Electronics,57,South,Eve,Q2,451.6980874869537,0.24787389137974317,12,0.22064110395114095,5.0,2023-12-06,111.96416267417888,2023-12
Home,58,South,Eve,Q3,193.09195476575746,0.20039086440848689,6,0.21728200699520572,3.080689124096694,2023-01-19,38.69386372583459,2023-01
Clothing,39,South,Alice,Q2,131.35949802978834,0.18544569538520306,8,0.22510854137704914,5.0,2023-04-10,24.36005345758531,2023-04
Sports,28,East,Charlie,Q4,290.9394427716429,0.2271974434619338,9,0.1752513142947492,3.4801940870649366,2023-04-26,66.10069759995686,2023-04
Home,40,North,Charlie,Q2,115.34735662930817,0.24404121766713543,5,0.17869386639360477,2.604723413897327,2023-12-12,28.149509366501693,2023-12
Electronics,18,North,Eve,Q1,220.03859464646428,0.35668482518853156,6,0.14148652994391503,3.201376715112417,2023-03-15,78.48442766620427,2023-03
Electronics,63,South,Diana,Q4,461.61987943556187,0.24790298932462748,12,0.19862347457714524,4.523632740592055,2023-10-07,114.43694804374992,2023-10
Books,54,North,Alice,Q1,276.59535386855566,0.2841627395495577,12,0.07509283024327466,4.868704417383988,2023-09-26,78.59809350196812,2023-09
Books,38,North,Eve,Q3,156.58986758366058,0.21214088985229307,4,0.2114281803349939,2.656473892587439,2023-05-05,33.219113851050494,2023-05
Clothing,43,South,Bob,Q1,246.9004450090316,0.21648853412896635,7,0.21926094631457077,4.2575771637796604,2023-04-26,53.45111541579472,2023-04
Home,63,South,Bob,Q1,367.5096309373169,0.2508502286080021,9,0.25311583063373194,3.4330820943821125,2023-06-23,92.18987493626842,2023-06
Home,53,West,Alice,Q2,282.13215663053165,0.2838923558607592,8,0.0845970363936704,4.930974646594161,2023-06-30,80.09516260991835,2023-06
Books,71,North,Diana,Q1,303.01425670869827,0.3128707506393415,13,0.16458317348854393,2.6523689420404866,2023-08-14,94.80429795087255,2023-08
Home,40,East,Eve,Q4,151.55825140110667,0.20619258665379772,4,0.15224102008502302,3.7435574882187965,2023-06-06,31.25018788512075,2023-06
Home,74,South,Charlie,Q4,481.41832815258385,0.05,13,0.23831265565497434,3.7897866507437277,2023-06-13,24.070916407629195,2023-06
Electronics,18,West,Alice,Q3,165.66412691433342,0.40396950080415467,11,0.1036194774071855,1.3957313612495899,2023-03-12,66.9232546507394,2023-03
Books,71,East,Diana,Q4,271.8518171129106,0.17522905007131748,6,0.16876062095522026,3.8994311649905407,2023-08-10,47.63633567285686,2023-08
Sports,72,North,Charlie,Q2,350.71370956467933,0.14280336330664495,9,0.13845175618054925,4.518197708804471,2023-05-06,50.08309728358606,2023-05
Books,68,West,Bob,Q3,211.25630705175607,0.2704412490403277,8,0.21926951443674128,3.58097589805396,2023-05-25,57.132419546723895,2023-05
Sports,57,South,Bob,Q4,170.48506984221612,0.09331851974154233,4,0.249907695581794,5.0,2023-06-25,15.909414355709067,2023-06
Electronics,32,East,Charlie,Q2,458.65543262542843,0.21561610011400917,13,0.13760366482581088,1.0,2023-06-01,98.89349567879856,2023-06
Clothing,38,South,Alice,Q4,203.0390104008751,0.27390803406470626,8,0.10613121077099794,5.0,2023-07-01,55.614016177347146,2023-07
Home,64,North,Bob,Q4,288.45872616782833,0.4418149814779237,10,0.20818293485007225,3.1133866928588327,2023-12-13,127.44538675898454,2023-12
Electronics,26,East,Eve,Q1,370.7083716159234,0.3110009446617902,9,0.21594277923029703,1.0,2023-03-26,115.29065376658615,2023-03
Home,70,North,Charlie,Q4,395.19138905419214,0.2648672583298496,13,0.1799775300658869,3.1273110776525854,2023-12-30,104.6732597343488,2023-12
Clothing,26,North,Charlie,Q4,151.25381173253277,0.29588643564745265,6,0.18263156139468226,4.719441137859006,2023-05-01,44.753951231629976,2023-05
