,gender,age,num_friends,num_liked,num_calls,event,time
0,1,17.0,25.0,79.0,390.0,False,500
1,0,21.0,47.0,236.0,738.0,False,500
2,0,28.0,25.0,89.0,384.0,False,500
3,1,23.0,28.0,101.0,398.0,False,500
4,0,24.0,17.0,98.0,264.0,False,500
5,0,25.0,32.0,249.0,416.0,False,500
6,1,20.0,40.0,90.0,535.0,False,500
7,1,28.0,26.0,145.0,380.0,False,500
8,0,22.0,15.0,192.0,212.0,False,500
9,1,29.0,34.0,92.0,499.0,False,500
10,0,26.0,42.0,106.0,619.0,False,500
11,0,29.0,7.0,131.0,106.0,True,26
12,0,25.0,17.0,201.0,241.0,False,500
13,0,18.0,72.0,149.0,1040.0,False,500
14,0,23.0,14.0,40.0,186.0,False,500
15,1,17.0,29.0,111.0,371.0,False,500
16,0,28.0,48.0,165.0,753.0,False,500
17,1,21.0,22.0,47.0,288.0,False,500
18,1,18.0,14.0,173.0,188.0,False,500
19,0,31.0,9.0,137.0,135.0,True,2
20,0,21.0,25.0,106.0,288.0,False,500
21,0,25.0,40.0,92.0,711.0,False,500
22,0,13.0,44.0,144.0,707.0,False,500
23,1,24.0,43.0,122.0,610.0,False,500
24,0,34.0,10.0,74.0,165.0,True,2
25,1,19.0,32.0,290.0,389.0,False,500
26,0,25.0,41.0,225.0,551.0,False,500
27,0,20.0,12.0,222.0,152.0,True,218
28,1,16.0,5.0,106.0,72.0,True,1
29,1,35.0,47.0,274.0,744.0,False,500
30,1,24.0,48.0,248.0,909.0,False,500
31,1,24.0,15.0,121.0,234.0,False,500
32,0,21.0,32.0,128.0,443.0,False,500
33,1,20.0,33.0,17.0,464.0,False,500
34,1,33.0,35.0,243.0,538.0,False,500
35,0,37.0,25.0,149.0,397.0,True,247
36,1,30.0,43.0,98.0,544.0,True,181
37,0,18.0,28.0,100.0,535.0,False,500
38,0,17.0,12.0,88.0,191.0,False,500
39,1,38.0,36.0,169.0,580.0,True,173
40,0,21.0,12.0,316.0,157.0,False,500
41,0,14.0,81.0,285.0,1242.0,False,500
42,1,18.0,4.0,256.0,44.0,True,1
43,1,22.0,12.0,166.0,158.0,True,66
44,0,30.0,21.0,146.0,332.0,True,14
45,1,17.0,14.0,393.0,244.0,False,500
46,0,21.0,32.0,149.0,476.0,False,500
47,1,16.0,19.0,189.0,335.0,False,500
48,0,17.0,43.0,118.0,662.0,False,500
49,1,28.0,7.0,227.0,82.0,True,22
50,1,36.0,32.0,265.0,559.0,False,500
51,0,22.0,32.0,100.0,453.0,False,500
52,1,13.0,18.0,91.0,258.0,False,500
53,0,24.0,8.0,73.0,109.0,True,180
54,0,28.0,32.0,149.0,500.0,False,500
55,1,20.0,26.0,110.0,518.0,False,500
56,1,23.0,24.0,137.0,352.0,False,500
57,1,28.0,40.0,163.0,835.0,False,500
58,1,22.0,48.0,183.0,627.0,False,500
59,0,20.0,18.0,103.0,246.0,False,500
60,0,14.0,46.0,209.0,783.0,False,500
61,0,15.0,30.0,110.0,505.0,False,500
62,1,17.0,14.0,167.0,281.0,False,500
63,0,21.0,17.0,171.0,242.0,False,500
64,0,21.0,60.0,217.0,773.0,False,500
65,1,19.0,35.0,206.0,582.0,False,500
66,1,17.0,26.0,196.0,296.0,False,500
67,1,27.0,34.0,155.0,429.0,False,500
68,1,25.0,10.0,66.0,110.0,True,2
69,1,23.0,40.0,165.0,684.0,False,500
70,1,22.0,16.0,133.0,240.0,True,33
71,1,29.0,30.0,157.0,423.0,False,500
72,1,29.0,13.0,23.0,179.0,True,68
73,0,27.0,58.0,247.0,855.0,False,500
74,0,29.0,34.0,82.0,397.0,False,500
75,0,20.0,32.0,113.0,426.0,False,500
76,0,22.0,11.0,166.0,135.0,False,500
77,1,21.0,28.0,130.0,541.0,False,500
78,0,17.0,22.0,129.0,299.0,False,500
79,1,29.0,34.0,71.0,555.0,False,500
80,0,20.0,30.0,72.0,606.0,False,500
81,0,23.0,25.0,164.0,294.0,False,500
82,1,21.0,35.0,157.0,550.0,False,500
83,1,18.0,18.0,187.0,256.0,False,500
84,1,16.0,16.0,152.0,160.0,True,116
85,0,24.0,44.0,81.0,495.0,False,500
86,0,34.0,39.0,44.0,576.0,False,500
87,0,25.0,20.0,225.0,302.0,False,500
88,1,25.0,22.0,188.0,255.0,False,500
89,1,19.0,24.0,190.0,385.0,False,500
90,1,16.0,20.0,120.0,323.0,False,500
91,0,16.0,21.0,59.0,363.0,False,500
92,1,17.0,21.0,168.0,325.0,False,500
93,0,15.0,52.0,234.0,841.0,False,500
94,0,22.0,26.0,91.0,348.0,False,500
95,1,6.0,13.0,71.0,210.0,True,1
96,0,17.0,13.0,137.0,188.0,False,500
97,1,23.0,22.0,160.0,292.0,False,500
98,1,30.0,29.0,151.0,421.0,True,10
99,0,20.0,37.0,94.0,473.0,False,500
100,1,31.0,48.0,166.0,901.0,True,406
101,1,17.0,42.0,127.0,671.0,False,500
102,0,23.0,13.0,167.0,199.0,False,500
103,0,17.0,17.0,151.0,266.0,False,500
104,1,23.0,21.0,64.0,382.0,False,500
105,1,22.0,61.0,151.0,1037.0,False,500
106,1,11.0,21.0,327.0,296.0,False,500
107,0,17.0,44.0,95.0,581.0,False,500
108,0,26.0,60.0,99.0,693.0,False,500
109,1,24.0,77.0,164.0,1049.0,False,500
110,1,27.0,57.0,310.0,885.0,False,500
111,1,17.0,23.0,123.0,337.0,False,500
112,0,25.0,25.0,119.0,368.0,False,500
113,0,22.0,32.0,200.0,493.0,False,500
114,1,22.0,17.0,224.0,265.0,False,500
115,1,30.0,36.0,91.0,596.0,True,220
116,1,24.0,13.0,85.0,181.0,True,2
117,0,27.0,34.0,217.0,605.0,False,500
118,0,17.0,75.0,304.0,1231.0,False,500
119,0,24.0,18.0,213.0,300.0,False,500
120,1,25.0,21.0,30.0,391.0,False,500
121,1,18.0,29.0,133.0,421.0,False,500
122,0,18.0,14.0,132.0,214.0,False,500
123,1,38.0,18.0,176.0,214.0,True,2
124,0,17.0,8.0,223.0,122.0,False,500
125,1,28.0,13.0,144.0,209.0,False,500
126,0,21.0,22.0,72.0,350.0,False,500
127,0,18.0,16.0,140.0,246.0,False,500
128,0,16.0,19.0,130.0,325.0,False,500
129,0,20.0,20.0,167.0,207.0,False,500
130,1,30.0,18.0,151.0,247.0,True,1
131,1,30.0,48.0,31.0,768.0,True,98
132,1,17.0,45.0,76.0,809.0,False,500
133,0,16.0,15.0,284.0,223.0,False,500
134,0,18.0,26.0,170.0,480.0,False,500
135,0,18.0,44.0,125.0,754.0,False,500
136,0,34.0,28.0,167.0,462.0,True,398
137,1,15.0,18.0,168.0,301.0,False,500
138,1,20.0,32.0,215.0,590.0,False,500
139,0,21.0,21.0,290.0,337.0,False,500
140,0,23.0,15.0,114.0,235.0,False,500
141,0,17.0,40.0,139.0,607.0,False,500
142,0,23.0,37.0,45.0,741.0,False,500
143,0,32.0,16.0,94.0,278.0,True,10
144,0,23.0,28.0,233.0,356.0,False,500
145,1,23.0,9.0,255.0,122.0,True,80
146,0,22.0,23.0,140.0,322.0,False,500
147,1,29.0,25.0,224.0,391.0,False,500
148,0,16.0,54.0,149.0,824.0,False,500
149,0,18.0,13.0,95.0,192.0,False,500
150,1,25.0,54.0,181.0,746.0,False,500
151,0,19.0,83.0,64.0,1004.0,False,500
152,0,27.0,17.0,41.0,282.0,False,500
153,0,23.0,18.0,152.0,271.0,False,500
154,0,32.0,19.0,294.0,320.0,True,37
155,1,13.0,42.0,164.0,553.0,False,500
156,1,28.0,55.0,220.0,866.0,False,500
157,1,29.0,22.0,183.0,400.0,False,500
158,0,14.0,19.0,121.0,289.0,False,500
159,0,31.0,67.0,230.0,1188.0,False,500
160,0,24.0,6.0,213.0,79.0,True,16
161,0,24.0,51.0,273.0,754.0,False,500
