country,lifeExp
Japan,82.603
"Hong Kong, China",82.208
Iceland,81.757
Switzerland,81.70100000000002
Australia,81.235
Spain,80.941
Sweden,80.884
Israel,80.745
France,80.657
Canada,80.653
Italy,80.546
New Zealand,80.204
Norway,80.196
Singapore,79.972
Austria,79.829
Netherlands,79.762
Greece,79.483
Belgium,79.441
United Kingdom,79.425
Germany,79.406
Finland,79.313
Ireland,78.885
Costa Rica,78.782
Puerto Rico,78.74600000000002
"Korea, Rep.",78.623
Chile,78.553
Taiwan,78.4
Denmark,78.332
Cuba,78.273
United States,78.242
Portugal,78.098
Slovenia,77.926
Kuwait,77.58800000000002
Czech Republic,76.486
Reunion,76.442
Albania,76.423
Uruguay,76.384
Mexico,76.195
Croatia,75.748
Oman,75.64
Bahrain,75.635
Poland,75.563
Panama,75.53699999999998
Montenegro,75.445
Argentina,75.32
Ecuador,74.994
Bosnia and Herzegovina,74.852
Slovak Republic,74.663
Vietnam,74.249
Malaysia,74.241
Syria,74.143
Serbia,74.002
Libya,73.952
Tunisia,73.923
Venezuela,73.747
West Bank and Gaza,73.422
Hungary,73.33800000000002
Bulgaria,73.005
China,72.961
Nicaragua,72.899
Colombia,72.889
Mauritius,72.801
Saudi Arabia,72.777
Jamaica,72.567
Jordan,72.535
Romania,72.476
Sri Lanka,72.396
Brazil,72.39
Algeria,72.301
Dominican Republic,72.235
Lebanon,71.993
El Salvador,71.878
Turkey,71.777
Paraguay,71.752
Philippines,71.688
Peru,71.421
Egypt,71.33800000000002
Morocco,71.164
Iran,70.964
Indonesia,70.65
"Korea, Dem. Rep.",70.64699999999998
Thailand,70.616
Guatemala,70.259
Honduras,70.19800000000001
Trinidad and Tobago,69.819
Mongolia,66.803
Bolivia,65.554
Sao Tome and Principe,65.528
Pakistan,65.483
Comoros,65.152
Iraq,65.044
India,64.69800000000001
Mauritania,64.164
Bangladesh,64.062
Nepal,63.785
Botswana,63.622
Senegal,63.062
"Yemen, Rep.",62.698
Zimbabwe,62.351000000000006
Myanmar,62.068999999999996
Haiti,60.916000000000004
Namibia,60.835
South Africa,60.833999999999996
Gabon,60.46100000000001
Ghana,60.022
Cambodia,59.723
Gambia,59.448
Madagascar,59.44300000000001
Kenya,59.339
Sudan,58.556000000000004
Togo,58.42
Eritrea,58.04
Swaziland,57.678000000000004
"Congo, Rep.",57.47
Lesotho,57.18
Niger,56.867
Benin,56.728
Guinea,56.007
Cameroon,54.985
Djibouti,54.791000000000004
Cote d'Ivoire,54.655
Mali,54.467
Ethiopia,52.946999999999996
Tanzania,52.516999999999996
Burkina Faso,52.295
Equatorial Guinea,51.57899999999999
Chad,51.573
Uganda,51.542
Zambia,51.386
Central African Republic,50.485
Burundi,49.58
Malawi,48.303000000000004
Somalia,48.159
"Congo, Dem. Rep.",47.803999999999995
Nigeria,47.464
Guinea-Bissau,46.38800000000001
Mozambique,46.343999999999994
Rwanda,46.242
Liberia,46.027
Afghanistan,43.828
Angola,42.731
Sierra Leone,42.56800000000001
