country,lifeExp
Iceland,76.8745
Sweden,76.59233333333333
Norway,76.216
Switzerland,76.20016666666668
Netherlands,76.112
Japan,75.71216666666668
Canada,75.40383333333334
Australia,75.21749999999999
France,74.99116666666667
Spain,74.85016666666667
Denmark,74.78366666666666
Italy,74.68933333333334
"Hong Kong, China",74.45966666666666
Greece,74.427
Israel,74.37733333333334
United Kingdom,74.365
New Zealand,74.34566666666666
Belgium,74.21683333333333
Germany,73.99883333333334
United States,73.95033333333333
Austria,73.67816666666667
Ireland,73.56283333333333
Puerto Rico,73.56216666666667
Finland,73.51883333333333
Slovenia,72.21766666666666
Singapore,72.10166666666667
Czech Republic,72.03266666666667
Cuba,71.977
Taiwan,71.25666666666667
Uruguay,71.253
Slovak Republic,71.22216666666667
Costa Rica,71.16566666666667
Portugal,71.10799999999999
Montenegro,71.09083333333334
Poland,70.8905
Croatia,70.80966666666667
Bulgaria,70.4175
Kuwait,69.98633333333333
Hungary,69.96966666666667
Argentina,69.64716666666668
Jamaica,69.4715
Serbia,69.39183333333334
Albania,69.3005
Panama,68.79183333333333
Bosnia and Herzegovina,68.72266666666667
Romania,68.681
Chile,68.41833333333334
Reunion,67.63716666666666
Venezuela,67.4875
Trinidad and Tobago,67.39433333333334
Sri Lanka,67.25583333333334
Paraguay,67.17166666666667
Mexico,66.61583333333333
Bahrain,66.60966666666667
Lebanon,66.607
"Korea, Rep.",66.37383333333334
Mauritius,66.14216666666667
Malaysia,65.40133333333334
Colombia,64.98133333333334
"Korea, Dem. Rep.",64.4755
Ecuador,63.98016666666667
China,63.92640666666667
Brazil,63.231500000000004
Thailand,63.105
Dominican Republic,62.767500000000005
Syria,62.62966666666667
Philippines,62.031666666666666
Tunisia,61.96333333333333
West Bank and Gaza,61.60516666666667
Jordan,61.10133333333332
El Salvador,60.948
Turkey,60.940333333333335
Libya,60.783166666666666
Algeria,60.393
Saudi Arabia,60.17733333333334
Oman,60.05133333333333
Peru,60.016
Iran,59.89966666666667
Nicaragua,59.6865
Honduras,59.223333333333336
Vietnam,59.038333333333334
Morocco,58.8315
Sao Tome and Principe,58.74699999999999
Guatemala,57.925000000000004
Iraq,57.78483333333333
Egypt,57.568000000000005
Mongolia,57.107000000000006
Indonesia,55.90200000000001
Pakistan,55.824333333333335
Botswana,54.856833333333334
Myanmar,54.679833333333335
India,54.44433333333334
South Africa,54.308
Namibia,54.24533333333334
Bolivia,53.63333333333333
Comoros,53.43483333333333
Mauritania,53.36966666666667
Kenya,53.22516666666667
Ghana,53.15233333333333
"Congo, Rep.",53.07866666666666
Zimbabwe,52.46416666666667
Togo,52.435833333333335
Gabon,52.295500000000004
Senegal,51.79816666666667
Haiti,51.347500000000004
Bangladesh,51.002833333333335
Nepal,50.275666666666666
Lesotho,50.1795
Benin,49.7125
Sudan,49.32583333333333
Swaziland,49.028999999999996
Cote d'Ivoire,48.86116666666667
Madagascar,48.733000000000004
Cameroon,48.69933333333333
Tanzania,48.528
"Yemen, Rep.",48.128166666666665
Uganda,48.10016666666667
Cambodia,48.02866666666667
Chad,47.35666666666666
Djibouti,47.31816666666666
Eritrea,47.107
Zambia,46.11233333333333
Gambia,45.72299999999999
Burkina Faso,45.65266666666667
Burundi,45.518
Niger,45.457
Ethiopia,45.387499999999996
"Congo, Dem. Rep.",44.828833333333336
Central African Republic,44.5015
Mali,44.37366666666666
Guinea,44.25516666666667
Nigeria,44.094166666666666
Malawi,43.952666666666666
Equatorial Guinea,43.74700000000001
Liberia,43.11866666666666
Rwanda,42.82483333333334
Somalia,42.063833333333335
Mozambique,40.94566666666667
Guinea-Bissau,39.82533333333334
Angola,38.51116666666667
Afghanistan,38.200500000000005
Sierra Leone,37.49033333333333
