Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Marketing Airline,Operating Airline,Marketing Airline Name,Operating Airline Name,Code Share,Fleet,Manufacturer,Flight No,Effective Date,Discontinued Date,Departure Time,Arrival Time,Duration,Departure Terminal,Arrival Terminal,Restricted Code,Frequency,Schedule Type,DepCount,Operating Airline   Capacity,Operating Airline   ASM(Nautical)(Millions),Distance
ORY,ORLY FIELD,PARIS,FRANCE,WESTERN EUROPE,RUN,ROLAND GARROS AIRPORT,ST DENIS DE LA REUNION,REUNION ISLAND,EAST AFRICA,IJ,IW,Spring Airlines Japan Co. Ltd.,PT. Wings Abadi Airlines,YES,D10,MCDONNELL-DOUGLAS,1851,20001101,20001130,21:45,11:50,665,S,, , 12345-7 ,AIR,6,,,5090.0
SEL,METROPOLITAN AREA,SEOUL,SOUTH KOREA,FAR EAST ASIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,AA,OZ,American Airlines,"Asiana Airlines, Inc.",YES,744,BOEING,6138,20001101,20001130,17:00,10:20,620,1,B, ,1234567,AIR,7,,,5186.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,NORTH AMERICA,AC,CP,Air Canada,Compass Airlines LLC,YES,744,BOEING,3018,20001101,20001130,18:30,12:35,605,2,M, ,1234567,AIR,7,,,5186.0
MXP,MALPENSA AIRPORT,MILAN,ITALY,WESTERN EUROPE,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,NW,RD,NORTHWEST AIRLINES INC.,RYAN INTERNATIONAL AIRLINES,YES,M1M,MCDONNELL-DOUGLAS,8920,20001102,20001130,10:30,14:15,765,1,B, , ---4--- ,AIR,1,,,5246.0
SJP,ERIBELTO MANOEL REINO AIRPORT,SAO JOSE DO RIO PRETO,BRAZIL,SOUTH AMERICA,BAU,CENTRAL RAILWAY STATION,BAURU,BRAZIL,SOUTH AMERICA,TR,Q9,Scoot Tigerair Pte. Ltd,SKY JET M.G. INC.,YES,EM2,EMBRAER,1583,20001101,20001130,6:45,7:13,28,,, ,1234567,AIR,7,,,5259.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,PEK,CAPITAL INTERNATIONAL AIRPORT,BEIJING,CHINA,FAR EAST ASIA,NW,CA,NORTHWEST AIRLINES INC.,Air China Limited,YES,744,BOEING,5984,20001104,20001130,14:30,19:10,760,2,, , -----6- ,AIR,1,,,5423.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,NH,RG,All Nippon Airways Co. Ltd.,Rotana Jet Aviation dba Rotana Jet,YES,M11,MCDONNELL-DOUGLAS,5837,20001101,20001130,13:00,6:40,700,B,2,A, 1-3-56- ,AIR,4,,,5382.0
EZE,MINISTRO PISTARINI AIRPORT,BUENOS AIRES,ARGENTINA,SOUTH AMERICA,MAD,ADOLFO SUAREZ-BARAJAS AIRPORT,MADRID,SPAIN,WESTERN EUROPE,AR,AR,Aerolineas Argentinas S.A.,Aerolineas Argentinas S.A.,YES,747,BOEING,1132,20001101,20001130,22:00,13:40,700,,1, , 1------ ,AIR,1,,,5480.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,SQ,LH,Singapore Airlines Limited,Deutsche Lufthansa AG,YES,744,BOEING,2007,20001101,20001130,22:15,16:55,700,1,2, ,1234567,AIR,7,,,5566.0
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,AA,BR,American Airlines,EVA Airways Corporation,YES,744,BOEING,7407,20001101,20001130,16:05,22:00,835,I,2, , -2-4-6- ,AIR,3,,,5617.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,UNITED STATES,NORTH AMERICA,AA,BR,American Airlines,EVA Airways Corporation,YES,744,BOEING,7408,20001101,20001130,23:30,18:20,650,2,I, , -2-4-6- ,AIR,3,,,5617.0
TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,NORTH AMERICA,BR,AC,EVA Airways Corporation,Air Canada,YES,744,BOEING,2010,20001101,20001130,18:30,12:35,605,2,M, , -2-4-67 ,AIR,4,,,5186.0
